municipality,group,variable,month,Consultas repetidas en personas de 5 años y más,TOTAL
ACACIO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,9,9
ACHACACHI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,77,77
ACHOCALLA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,11,11
AIQUILE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,66,66
ALCALA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,16,16
ANCORAIMES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,2,2
ANDAMARCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,44,44
ANTEQUERA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
ARAMPAMPA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,2,2
ARANI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,16,16
ARQUE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,8,8
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,7,7
ATOCHA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,340,340
AYATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,21,21
BATALLAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,16,16
BAURES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,48,48
BERMEJO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,180,180
BETANZOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,191,191
BOLIVAR,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,4,4
BOLPEBRA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,1,1
BOYUIBE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,2,2
BUENA VISTA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,11,11
CABEZAS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,51,51
"CAIZA ""D""",atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2008-01-01,20,20
