municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,11,11
ACHACACHI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,83,83
ACHOCALLA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,10,10
AIQUILE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,70,70
ALALAY,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,10,10
ALCALA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,5,5
ANCORAIMES,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,20,20
ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,6,6
ANTEQUERA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,6,6
ANZALDO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,14,14
APOLO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,39,39
ARAMPAMPA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,6,6
ARANI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,18,18
ARBIETO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,18,18
ARQUE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,13,13
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,86,86
ATOCHA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,17,17
AUCAPATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,1,1
AYATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,5,5
AYO AYO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,56,56
AZURDUY,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,20,20
BATALLAS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,26,26
BAURES,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,17,17
BELEN DE ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,2,2
BELEN DE URMIRI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,1,1
BELLA FLOR,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,1,1
BERMEJO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,74,74
BETANZOS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,33,33
BOLIVAR,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,4,4
BOLPEBRA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,3,3
BOYUIBE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,5,5
BUENA VISTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,20,20
CABEZAS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,25,25
CAIROMA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,21,21
"CAIZA ""D""",nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,6,6
CAJUATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,21,21
CALACOTO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,6,6
CALAMARCA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,19,19
CAMARGO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,36,36
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,7,7
CAMIRI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,87,87
CAPINOTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,50,50
CAQUIAVIRI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,10,10
CARACOLLO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,38,38
CARANAVI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,100,100
CARAPARI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,22,22
CARIPUYO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,16,16
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,5,5
CATACORA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,2,2
CHACARILLA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,1,1
CHALLAPATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,38,38
CHAQUI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,6,6
CHARAGUA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,81,81
CHARAÑA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,6,6
CHAYANTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,13,13
CHIMORE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,8,8
CHOQUE COTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,24,24
CHUMA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,8,8
CLIZA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2008-01-01,44,44
