municipality,group,variable,month,Niños de 1 año a menores de 5 años con 2da dosis v,TOTAL
ACHACACHI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,67,67
ACHOCALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,25,25
AIQUILE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,68,68
ALALAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,36,36
ANCORAIMES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,65,65
ANTEQUERA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,1,1
ANZALDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,12,12
APOLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,39,39
ARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,7,7
ARBIETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,26,26
ARQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,22,22
ATOCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,6,6
AUCAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,9,9
AYATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,48,48
AYO AYO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,59,59
BATALLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,24,24
BELLA FLOR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,3,3
BERMEJO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,93,93
BOLIVAR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,26,26
BOLPEBRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,3,3
CAIROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,21,21
CAJUATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,32,32
CALACOTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,5,5
CALAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,26,26
CAPINOTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,60,60
CAQUIAVIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,1,1
CARACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,2,2
CARANAVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,145,145
CARAPARI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,13,13
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,8,8
CHALLAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,3,3
CHARAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,14,14
CHIMORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,63,63
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,10,10
CHUMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,25,25
CLIZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,121,121
COBIJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,309,309
COCHABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,649,649
COIPASA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,1,1
COLCAPIRHUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,81,81
COLLANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,2,2
COLOMI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,63,63
COLQUENCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,21,21
COLQUIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,42,42
COMANCHE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,3,3
COPACABANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,5,5
CORIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,16,16
COROICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,39,39
COTAGAITA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,2,2
CURVA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,4,4
DESAGUADERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,11,11
EL ALTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,1981,1981
ENTRE RIOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,62,62
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,5,5
EXALTACION,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,9,9
FILADELFIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,56,56
GUANAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,55,55
GUAQUI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,21,21
GUAYARAMERIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,15,15
HUANUNI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,2,2
ICHOCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,17,17
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,2,2
INQUISIVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,20,20
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,36,36
IXIAMAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,21,21
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,36,36
LA ASUNTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,52,52
LA PAZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,2030,2030
LAJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,45,45
LICOMA PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,7,7
LORETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,7,7
LURIBAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,23,23
MALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,17,17
MAPIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,14,14
MECAPACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,6,6
MIZQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,69,69
MOCOMOCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,50,50
MOJINETE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,1,1
MOROCHATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,56,56
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,24,24
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,2,2
OCURI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,17,17
OMEREQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,11,11
ORURO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,109,109
PADCAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,33,33
PAILON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,5,5
PALCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,4,4
PALOS BLANCOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,56,56
PAPEL PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,5,5
PATACAMAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,100,100
PELECHUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,21,21
POCOATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,6,6
POCONA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,37,37
POJO (CBBA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,20,20
PORVENIR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,31,31
POTOSI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,28,28
PUCARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,13,13
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,129,129
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,63,63
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,16,16
PUERTO PEREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,5,5
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,4,4
PUERTO RICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,22,22
PUERTO SILES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,4,4
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,64,64
PUNA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 2da dosis v,2008-01-01,4,4
