municipality,group,variable,month,Niños (as) 6 a 23 meses que reciben Alimento compl,TOTAL
ACACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,43,43
ACHOCALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,21,21
ALALAY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,11,11
ALCALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,91,91
ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,24,24
ANTEQUERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,37,37
ANZALDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,12,12
APOLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,12,12
ARAMPAMPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,16,16
ARANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,7,7
ARQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,150,150
AYATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,22,22
BAURES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,51,51
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
BELEN DE URMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,2,2
BOLIVAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,1,1
BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,22,22
CAJUATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,1,1
CALACOTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,23,23
CAPINOTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
CARACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,199,199
CARANAVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,15,15
CARIPUYO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,18,18
CHACARILLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,3,3
CHALLAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,108,108
CHOQUE COTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,30,30
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,4,4
CHUMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,121,121
COIPASA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,9,9
COMANCHE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,20,20
COMARAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,87,87
CONCEPCION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-01-01,25,25
