municipality,group,variable,month,Niños de 6 meses a menores de 2 años con dosis com,TOTAL
ACACIO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,14,14
ACHACACHI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,164,164
ACHOCALLA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,18,18
AIQUILE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,131,131
ALALAY,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,18,18
ALCALA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,7,7
ANCORAIMES,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,69,69
ANDAMARCA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,3,3
ANZALDO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,35,35
APOLO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,83,83
ARAMPAMPA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,21,21
ARANI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,16,16
ARBIETO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,40,40
ARQUE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,69,69
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,17,17
ATOCHA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,9,9
AUCAPATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,10,10
AYATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,49,49
AYO AYO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis com,2008-01-01,22,22
