municipality,group,variable,month,Niños de 2 años a menores de 5 años con dosis comp,TOTAL
ACACIO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,5,5
ACHACACHI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,195,195
ACHOCALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,51,51
AIQUILE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,176,176
ALALAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,24,24
ALCALA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,2,2
ANCORAIMES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,110,110
ANDAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,5,5
ANTEQUERA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,3,3
ANZALDO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,20,20
APOLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,109,109
ARAMPAMPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,73,73
ARANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,16,16
ARBIETO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,29,29
ARQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,64,64
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,13,13
ATOCHA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,7,7
AYATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2008-01-01,49,49
