municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitamina,TOTAL
ACACIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,9,9
ACHACACHI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,73,73
ACHOCALLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
AIQUILE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,45,45
ALALAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,16,16
ALCALA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
ANCORAIMES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,20,20
ANDAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
ANTEQUERA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,6,6
ANZALDO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
APOLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,36,36
ARAMPAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
ARANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,23,23
ARBIETO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,22,22
ARQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,17,17
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,26,26
ATOCHA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,18,18
AUCAPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
AYATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,20,20
AYO AYO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,44,44
AZURDUY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,30,30
BATALLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,34,34
BAURES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,5,5
BELLA FLOR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
BERMEJO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,66,66
BETANZOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,36,36
BOLIVAR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,14,14
BOLPEBRA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
BOYUIBE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,13,13
BUENA VISTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,47,47
CABEZAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,38,38
CAIROMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,14,14
"CAIZA ""D""",nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,10,10
CAJUATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
CALACOTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,5,5
CALAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,24,24
CAMARGO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,24,24
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,3,3
CAMIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,59,59
CAPINOTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,34,34
CAQUIAVIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,8,8
CARACOLLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,41,41
CARANAVI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,129,129
CARAPARI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,17,17
CARIPUYO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,11,11
CATACORA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,2,2
CHACARILLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,1,1
CHALLAPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,64,64
CHAQUI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,12,12
CHARAGUA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,61,61
CHARAÑA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,3,3
CHAYANTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,57,57
CHIMORE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,15,15
CHOQUE COTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,21,21
CHUMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,19,19
CLIZA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,22,22
COBIJA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina,2008-01-01,81,81
