municipality,group,variable,month,Niños de 1 año a menores de 5 años con 1ra dosis v,TOTAL
ACACIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,205,205
ACHACACHI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,333,333
ACHOCALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,35,35
AIQUILE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,345,345
ALALAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,37,37
ALCALA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,6,6
ANCORAIMES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,161,161
ANDAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,6,6
ANTEQUERA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,8,8
ANZALDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,68,68
APOLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,120,120
ARAMPAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,71,71
ARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,55,55
ARBIETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,49,49
ARQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,89,89
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,49,49
ATOCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,70,70
AUCAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis v,2008-01-01,19,19
