,group,variable,month,TALLA BAJA < DE 1 AÑO,TALLA BAJA < DE 1 AÑO,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,talla baja,2010-01-01,18,14,25,34,51,48,94,96,190
ACHACACHI,estado nutricional,talla baja,2010-01-01,11,10,13,12,15,12,39,34,73
ACHOCALLA,estado nutricional,talla baja,2010-01-01,7,1,7,8,3,4,17,13,30
AIQUILE,estado nutricional,talla baja,2010-01-01,12,5,23,31,49,36,84,72,156
ALALAY,estado nutricional,talla baja,2010-01-01,1,1,6,2,2,2,9,5,14
ALCALA,estado nutricional,talla baja,2010-01-01,4,2,4,3,25,24,33,29,62
ALTO BENI,estado nutricional,talla baja,2010-01-01,5,13,11,12,7,6,23,31,54
ANCORAIMES,estado nutricional,talla baja,2010-01-01,11,4,17,12,21,11,49,27,76
ANDAMARCA,estado nutricional,talla baja,2010-01-01,2,1,8,4,24,25,34,30,64
ANTEQUERA,estado nutricional,talla baja,2010-01-01,3,1,4,0,1,3,8,4,12
ANZALDO,estado nutricional,talla baja,2010-01-01,1,1,2,3,4,3,7,7,14
APOLO,estado nutricional,talla baja,2010-01-01,5,6,13,8,22,20,40,34,74
ARAMPAMPA,estado nutricional,talla baja,2010-01-01,7,3,7,11,9,11,23,25,48
ARANI,estado nutricional,talla baja,2010-01-01,0,2,7,4,10,5,17,11,28
ARBIETO,estado nutricional,talla baja,2010-01-01,8,3,19,10,17,25,44,38,82
ARQUE,estado nutricional,talla baja,2010-01-01,22,9,30,15,17,19,69,43,112
ASCENCION DE GUARAYOS,estado nutricional,talla baja,2010-01-01,0,0,0,2,0,0,0,2,2
ATOCHA,estado nutricional,talla baja,2010-01-01,11,7,4,12,8,8,23,27,50
AUCAPATA,estado nutricional,talla baja,2010-01-01,1,1,3,3,3,1,7,5,12
AYATA,estado nutricional,talla baja,2010-01-01,8,6,21,14,11,18,40,38,78
AYO AYO,estado nutricional,talla baja,2010-01-01,12,7,11,14,5,3,28,24,52
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla baja,2010-01-01,12,15,28,27,11,19,51,61,112
AZURDUY,estado nutricional,talla baja,2010-01-01,7,14,22,23,77,70,106,107,213
BATALLAS,estado nutricional,talla baja,2010-01-01,16,13,8,11,11,12,35,36,71
BAURES,estado nutricional,talla baja,2010-01-01,1,0,1,0,1,1,3,1,4
BELEN DE ANDAMARCA,estado nutricional,talla baja,2010-01-01,0,1,2,1,4,4,6,6,12
BELEN DE URMIRI,estado nutricional,talla baja,2010-01-01,0,0,3,3,4,4,7,7,14
BELLA FLOR,estado nutricional,talla baja,2010-01-01,0,0,1,2,6,0,7,2,9
BERMEJO,estado nutricional,talla baja,2010-01-01,6,3,13,6,5,8,24,17,41
BETANZOS,estado nutricional,talla baja,2010-01-01,55,36,85,55,115,116,255,207,462
BOLIVAR,estado nutricional,talla baja,2010-01-01,16,14,32,26,25,18,73,58,131
BOLPEBRA,estado nutricional,talla baja,2010-01-01,0,0,3,1,5,3,8,4,12
BOYUIBE,estado nutricional,talla baja,2010-01-01,4,1,1,5,0,1,5,7,12
BUENA VISTA,estado nutricional,talla baja,2010-01-01,7,1,0,7,7,2,14,10,24
CABEZAS,estado nutricional,talla baja,2010-01-01,5,9,2,11,11,8,18,28,46
CAIROMA,estado nutricional,talla baja,2010-01-01,5,7,14,6,13,16,32,29,61
"CAIZA ""D""",estado nutricional,talla baja,2010-01-01,12,4,19,13,12,10,43,27,70
CAJUATA,estado nutricional,talla baja,2010-01-01,2,1,4,4,1,3,7,8,15
CALACOTO,estado nutricional,talla baja,2010-01-01,2,4,11,3,16,5,29,12,41
CALAMARCA,estado nutricional,talla baja,2010-01-01,18,7,10,10,17,16,45,33,78
CAMARGO,estado nutricional,talla baja,2010-01-01,14,21,27,16,52,59,93,96,189
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla baja,2010-01-01,0,0,5,3,5,3,10,6,16
CAMIRI,estado nutricional,talla baja,2010-01-01,9,8,12,20,26,20,47,48,95
CAPINOTA,estado nutricional,talla baja,2010-01-01,6,3,20,13,12,11,38,27,65
CAQUIAVIRI,estado nutricional,talla baja,2010-01-01,12,5,8,6,17,15,37,26,63
CARACOLLO,estado nutricional,talla baja,2010-01-01,22,7,37,35,16,21,75,63,138
CARANAVI,estado nutricional,talla baja,2010-01-01,19,15,40,34,47,53,106,102,208
CARAPARI,estado nutricional,talla baja,2010-01-01,4,3,8,0,10,6,22,9,31
CARIPUYO,estado nutricional,talla baja,2010-01-01,24,23,33,21,35,35,92,79,171
CARMEN RIVERO TORREZ,estado nutricional,talla baja,2010-01-01,1,1,2,0,0,0,3,1,4
CATACORA,estado nutricional,talla baja,2010-01-01,1,1,1,2,4,8,6,11,17
CHACARILLA,estado nutricional,talla baja,2010-01-01,1,0,0,0,0,1,1,1,2
CHALLAPATA,estado nutricional,talla baja,2010-01-01,32,18,43,24,31,26,106,68,174
CHAQUI,estado nutricional,talla baja,2010-01-01,6,4,10,6,13,7,29,17,46
CHARAÑA,estado nutricional,talla baja,2010-01-01,0,0,1,0,0,0,1,0,1
CHAYANTA,estado nutricional,talla baja,2010-01-01,40,26,58,43,54,60,152,129,281
CHIMORE,estado nutricional,talla baja,2010-01-01,1,2,4,3,14,13,19,18,37
CHIPAYA,estado nutricional,talla baja,2010-01-01,3,0,2,0,0,4,5,4,9
CHOQUE COTA,estado nutricional,talla baja,2010-01-01,0,0,1,0,1,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla baja,2010-01-01,4,6,6,1,0,8,10,15,25
CHUMA,estado nutricional,talla baja,2010-01-01,10,8,17,9,24,30,51,47,98
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla baja,2010-01-01,11,2,8,5,1,2,20,9,29
CLIZA,estado nutricional,talla baja,2010-01-01,6,1,12,3,4,5,22,9,31
COBIJA,estado nutricional,talla baja,2010-01-01,19,9,13,8,11,10,43,27,70
COCAPATA,estado nutricional,talla baja,2010-01-01,19,6,41,18,25,32,85,56,141
COCHABAMBA,estado nutricional,talla baja,2010-01-01,51,55,103,92,75,71,229,218,447
COIPASA,estado nutricional,talla baja,2010-01-01,0,0,2,1,0,0,2,1,3
COLCAPIRHUA,estado nutricional,talla baja,2010-01-01,12,13,9,11,14,9,35,33,68
"COLCHA ""K""",estado nutricional,talla baja,2010-01-01,6,3,6,6,11,7,23,16,39
COLLANA,estado nutricional,talla baja,2010-01-01,6,2,3,2,1,3,10,7,17
COLOMI,estado nutricional,talla baja,2010-01-01,6,12,22,13,22,25,50,50,100
COLPA BELGICA,estado nutricional,talla baja,2010-01-01,1,1,0,2,2,1,3,4,7
COLQUECHACA,estado nutricional,talla baja,2010-01-01,74,89,129,121,47,58,250,268,518
COLQUENCHA,estado nutricional,talla baja,2010-01-01,8,4,11,10,3,5,22,19,41
COLQUIRI,estado nutricional,talla baja,2010-01-01,10,17,20,5,37,51,67,73,140
COMANCHE,estado nutricional,talla baja,2010-01-01,0,0,4,2,0,1,4,3,7
COMARAPA,estado nutricional,talla baja,2010-01-01,2,2,18,11,11,7,31,20,51
COMBAYA,estado nutricional,talla baja,2010-01-01,1,0,0,0,2,1,3,1,4
COPACABANA,estado nutricional,talla baja,2010-01-01,2,2,2,1,5,1,9,4,13
CORIPATA,estado nutricional,talla baja,2010-01-01,1,0,2,0,4,7,7,7,14
CORO CORO,estado nutricional,talla baja,2010-01-01,5,5,4,1,4,4,13,10,23
