,group,variable,month,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,talla normal,2010-01-01,29,42,18,20,31,31,78,93,171
ACHACACHI,estado nutricional,talla normal,2010-01-01,258,231,159,145,168,148,585,524,1109
ACHOCALLA,estado nutricional,talla normal,2010-01-01,52,51,48,42,25,31,125,124,249
AIQUILE,estado nutricional,talla normal,2010-01-01,196,144,102,89,137,158,435,391,826
ALALAY,estado nutricional,talla normal,2010-01-01,14,21,8,13,1,3,23,37,60
ALCALA,estado nutricional,talla normal,2010-01-01,22,18,20,19,51,58,93,95,188
ALTO BENI,estado nutricional,talla normal,2010-01-01,41,59,46,33,40,37,127,129,256
ANCORAIMES,estado nutricional,talla normal,2010-01-01,70,55,37,28,30,37,137,120,257
ANDAMARCA,estado nutricional,talla normal,2010-01-01,28,28,17,22,53,41,98,91,189
ANTEQUERA,estado nutricional,talla normal,2010-01-01,17,23,19,15,18,10,54,48,102
ANZALDO,estado nutricional,talla normal,2010-01-01,26,21,20,22,18,15,64,58,122
APOLO,estado nutricional,talla normal,2010-01-01,149,136,88,90,116,136,353,362,715
ARAMPAMPA,estado nutricional,talla normal,2010-01-01,26,25,12,13,23,14,61,52,113
ARANI,estado nutricional,talla normal,2010-01-01,114,91,75,43,49,60,238,194,432
ARBIETO,estado nutricional,talla normal,2010-01-01,106,102,64,70,92,118,262,290,552
ARQUE,estado nutricional,talla normal,2010-01-01,70,75,37,51,29,40,136,166,302
ASCENCION DE GUARAYOS,estado nutricional,talla normal,2010-01-01,29,39,4,7,1,1,34,47,81
ATOCHA,estado nutricional,talla normal,2010-01-01,66,78,51,43,36,59,153,180,333
AUCAPATA,estado nutricional,talla normal,2010-01-01,34,26,19,27,26,29,79,82,161
AYATA,estado nutricional,talla normal,2010-01-01,62,60,33,40,27,34,122,134,256
AYO AYO,estado nutricional,talla normal,2010-01-01,73,36,37,31,14,13,124,80,204
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla normal,2010-01-01,190,180,112,110,87,88,389,378,767
AZURDUY,estado nutricional,talla normal,2010-01-01,39,58,40,37,93,87,172,182,354
BATALLAS,estado nutricional,talla normal,2010-01-01,104,121,66,73,53,52,223,246,469
BAURES,estado nutricional,talla normal,2010-01-01,30,28,11,9,19,17,60,54,114
BELEN DE ANDAMARCA,estado nutricional,talla normal,2010-01-01,3,3,4,2,7,6,14,11,25
BELEN DE URMIRI,estado nutricional,talla normal,2010-01-01,12,13,8,5,3,3,23,21,44
BELLA FLOR,estado nutricional,talla normal,2010-01-01,13,33,25,15,55,49,93,97,190
BERMEJO,estado nutricional,talla normal,2010-01-01,107,103,93,88,59,87,259,278,537
BETANZOS,estado nutricional,talla normal,2010-01-01,189,214,138,149,168,165,495,528,1023
BOLIVAR,estado nutricional,talla normal,2010-01-01,104,43,18,24,14,15,136,82,218
BOLPEBRA,estado nutricional,talla normal,2010-01-01,13,8,8,11,23,22,44,41,85
BOYUIBE,estado nutricional,talla normal,2010-01-01,33,28,27,24,72,70,132,122,254
BUENA VISTA,estado nutricional,talla normal,2010-01-01,75,70,64,50,72,66,211,186,397
CABEZAS,estado nutricional,talla normal,2010-01-01,135,112,90,86,70,64,295,262,557
CAIROMA,estado nutricional,talla normal,2010-01-01,45,44,39,33,36,36,120,113,233
"CAIZA ""D""",estado nutricional,talla normal,2010-01-01,47,47,38,41,29,40,114,128,242
CAJUATA,estado nutricional,talla normal,2010-01-01,61,56,29,20,21,16,111,92,203
CALACOTO,estado nutricional,talla normal,2010-01-01,20,31,24,14,14,14,58,59,117
CALAMARCA,estado nutricional,talla normal,2010-01-01,79,90,43,64,50,55,172,209,381
CAMARGO,estado nutricional,talla normal,2010-01-01,133,116,70,88,139,156,342,360,702
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla normal,2010-01-01,28,12,16,16,28,39,72,67,139
CAMIRI,estado nutricional,talla normal,2010-01-01,264,230,148,147,216,229,628,606,1234
CAPINOTA,estado nutricional,talla normal,2010-01-01,220,164,131,93,67,56,418,313,731
CAQUIAVIRI,estado nutricional,talla normal,2010-01-01,46,44,22,27,23,26,91,97,188
CARACOLLO,estado nutricional,talla normal,2010-01-01,163,189,111,133,65,85,339,407,746
CARANAVI,estado nutricional,talla normal,2010-01-01,399,378,230,206,190,157,819,741,1560
CARANGAS,estado nutricional,talla normal,2010-01-01,1,1,1,1,2,3,4,5,9
CARAPARI,estado nutricional,talla normal,2010-01-01,144,118,98,100,89,78,331,296,627
CARIPUYO,estado nutricional,talla normal,2010-01-01,62,60,35,37,57,43,154,140,294
CARMEN RIVERO TORREZ,estado nutricional,talla normal,2010-01-01,24,20,13,16,23,19,60,55,115
CATACORA,estado nutricional,talla normal,2010-01-01,4,2,0,1,4,4,8,7,15
CHACARILLA,estado nutricional,talla normal,2010-01-01,5,2,0,3,1,0,6,5,11
CHALLAPATA,estado nutricional,talla normal,2010-01-01,218,186,126,123,79,64,423,373,796
CHAQUI,estado nutricional,talla normal,2010-01-01,32,38,21,29,19,16,72,83,155
CHARAGUA,estado nutricional,talla normal,2010-01-01,4,0,0,0,0,0,4,0,4
CHARAÑA,estado nutricional,talla normal,2010-01-01,19,11,7,7,4,7,30,25,55
CHAYANTA,estado nutricional,talla normal,2010-01-01,58,82,30,41,30,44,118,167,285
CHIMORE,estado nutricional,talla normal,2010-01-01,58,26,39,36,63,55,160,117,277
CHIPAYA,estado nutricional,talla normal,2010-01-01,10,13,9,9,10,6,29,28,57
CHOQUE COTA,estado nutricional,talla normal,2010-01-01,12,4,3,4,10,2,25,10,35
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla normal,2010-01-01,91,93,44,37,22,33,157,163,320
CHUMA,estado nutricional,talla normal,2010-01-01,57,48,46,20,29,37,132,105,237
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla normal,2010-01-01,39,29,10,16,4,6,53,51,104
CLIZA,estado nutricional,talla normal,2010-01-01,200,146,123,86,112,83,435,315,750
COBIJA,estado nutricional,talla normal,2010-01-01,311,347,240,187,166,135,717,669,1386
COCAPATA,estado nutricional,talla normal,2010-01-01,129,131,93,107,76,95,298,333,631
COCHABAMBA,estado nutricional,talla normal,2010-01-01,2447,2242,1194,1077,801,691,4442,4010,8452
COIPASA,estado nutricional,talla normal,2010-01-01,8,6,7,4,2,5,17,15,32
COLCAPIRHUA,estado nutricional,talla normal,2010-01-01,172,183,116,82,107,97,395,362,757
"COLCHA ""K""",estado nutricional,talla normal,2010-01-01,50,46,37,35,33,26,120,107,227
COLLANA,estado nutricional,talla normal,2010-01-01,8,12,5,8,4,9,17,29,46
COLOMI,estado nutricional,talla normal,2010-01-01,177,195,98,105,78,72,353,372,725
COLPA BELGICA,estado nutricional,talla normal,2010-01-01,39,38,18,28,18,13,75,79,154
COLQUECHACA,estado nutricional,talla normal,2010-01-01,211,197,159,159,78,63,448,419,867
COLQUENCHA,estado nutricional,talla normal,2010-01-01,63,62,41,43,42,36,146,141,287
COLQUIRI,estado nutricional,talla normal,2010-01-01,146,132,92,67,47,59,285,258,543
COMANCHE,estado nutricional,talla normal,2010-01-01,7,11,8,11,4,5,19,27,46
COMARAPA,estado nutricional,talla normal,2010-01-01,134,124,87,68,78,86,299,278,577
COMBAYA,estado nutricional,talla normal,2010-01-01,13,15,16,13,8,10,37,38,75
COPACABANA,estado nutricional,talla normal,2010-01-01,62,67,52,38,50,50,164,155,319
