,group,variable,month,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARAMPAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,13,13,14,13,27
ARANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
ARBIETO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,20,21,20,21,41
ARQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,14,12,14,12,26
ATOCHA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,3,5,4,5,9
AYATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,4,5,2,8,6,14
AYO AYO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,4,3,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,9,7,18,10,27,17,44
AZURDUY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,10,11,48,48,58,59,117
BATALLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,1,8,12,10,13,23
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,6,2,7,4,11
BELLA FLOR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,6,3,6,3,9
BERMEJO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,0,1,0,1
BETANZOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,6,7,66,60,72,67,139
BOLIVAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,19,18,19,19,38
BOLPEBRA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,8,7,8,7,15
BOYUIBE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,2,9,15,9,17,26
BUENA VISTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,4,2,4,6
CABEZAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,0,21,24,23,24,47
CAIROMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,7,12,7,12,19
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,7,7,44,51,51,58,109
CALACOTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,0,8,6,10,6,16
CALAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,2,2,2,4
CAMARGO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,48,25,49,27,76
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,8,9,9,9,18
CAMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,5,3,5,3,8
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,0,0,0,1,1
CARACOLLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,5,9,5,9,14
CARANAVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,3,0,4,2,6
CARAPARI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,9,0,9,0,9
CARIPUYO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,7,13,7,13,20
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,0,0,0,1,1
CATACORA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,2,3,3,3,5,8
CHACARILLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,0,1,0,1
CHALLAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,25,35,26,35,61
CHAQUI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,1,25,21,26,22,48
CHARAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,3,11,10,13,13,26
CHARAÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,0,0,0,1,1
CHAYANTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,4,9,16,10,20,30
CHIMORE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,18,15,18,16,34
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,0,0,1,0,1
CHUMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,2,12,10,14,12,26
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,1,0,2,0,2
CKOCHAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,1,23,8,25,9,34
CLIZA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,10,5,10,5,15
COCAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,13,18,80,79,93,97,190
COCHABAMBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,3,11,15,12,18,30
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,2,60,44,63,46,109
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,3,2,3,5
COLOMI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,1,2,3,3,4,7
COLQUECHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,1,32,20,35,21,56
COLQUIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,9,6,14,23,23,29,52
COMARAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,1,2,6,3,7,10
COMBAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,4,1,4,1,5
CONCEPCION,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,23,14,22,26,45,40,85
COPACABANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,5,2,10,11,15,13,28
CORO CORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,12,5,13,7,20
COROICO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
CORQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,3,2,3,2,5
COTAGAITA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,0,19,32,21,32,53
COTOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,10,10,10,10,20
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,8,3,6,6,14,9,23
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,2,3,2,4,6
CUEVO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,6,13,18,15,24,39
CULPINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,4,49,47,50,51,101
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,1,2,1,3
CURVA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,4,3,5,3,8
EL ALTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,74,86,584,571,658,657,1315
EL CHORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,5,2,5,7
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,0,0,1,2,3
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,4,8,4,8,12
EL TORNO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,0,0,0,3,0,3
EL VILLAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,16,10,16,10,26
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,7,13,7,14,21
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,1,1,1,2,2,4
ESCOMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
EUCALIPTUS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,4,2,4,6
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,5,11,9,14,14,28
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,5,1,1,2,6,3,9
FILADELFIA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,0,14,19,16,19,35
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,11,9,11,9,20
GUANAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,11,10,11,10,21
GUAQUI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,0,1,0,2,2
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,3,3,3,6,6,12
GUTIERREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,2,2,2,4
HUACARETA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,6,9,6,9,15
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,9,10,9,11,20
HUANUNI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,2,23,12,25,14,39
HUARINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,1,1,2,4,3,7
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
HUMANATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,27,31,27,32,59
ICHOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,3,1,3,4
ICLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,56,41,56,41,97
INCAHUASI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,4,5,27,45,31,50,81
INQUISIVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,9,9,10,9,19
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,5,4,6,6,11,17
IXIAMAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,6,6,0,0,6,6,12
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,4,2,4,3,7
LA ASUNTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,8,8,8,8,16
LA GUARDIA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,3,5,3,5,8
LA PAZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,0,0,1,0,1
LAGUNILLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,35,35,36,35,71
LAJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,0,11,4,13,4,17
LAS CARRERAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,1,1,3,3,4,7
LLALLAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,52,64,60,61,112,125,237
LORETO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,2,1,3,3,6
LURIBAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,3,1,3,1,4
MACHACAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,3,5,3,5,8
MACHARETI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,8,19,8,20,28
MAGDALENA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,10,2,1,0,11,2,13
MALLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,10,20,10,20,30
MECAPACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,3,7,3,7,10
MINEROS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,1,1,3,2,4,6
MIZQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,5,4,39,34,44,38,82
MOCOMOCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,11,11,12,11,23
MOJINETE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,0,2,0,2,2
MOJOCOYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,1,10,14,12,15,27
MONTEAGUDO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,12,10,12,11,23
MORO MORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,5,10,6,10,16
MOROCHATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,7,10,8,12,20
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,4,4,4,4,8
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
OCURI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,7,5,36,30,43,35,78
OMEREQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,2,10,10,12,12,24
ORURO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,5,18,18,18,23,41
PADCAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,3,2,3,5
PADILLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,6,4,6,4,10
PAILON,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,0,9,17,11,17,28
PALCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,4,11,24,19,28,30,58
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,3,7,3,7,10
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,0,2,0,3,3
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,0,4,5,6,5,11
PASORAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,3,3,2,3,5,8
PATACAMAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,3,1,4,1,5
PAZÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,10,4,10,4,14
POCOATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,15,8,34,25,49,33,82
POCONA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,3,5,12,6,15,21
POOPO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,4,6,4,6,10
PORCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,2,3,3,3,6
POROMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,7,56,56,58,63,121
PORONGO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,0,2,0,2
PORVENIR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,5,4,5,4,9
POSTRER VALLE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
POTOSI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,9,8,50,56,59,64,123
PRESTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,1,31,34,32,35,67
PUCARA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,0,1,0,2,2
PUCARANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,4,1,19,22,23,23,46
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,0,5,6,6,6,12
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,2,9,10,12,12,24
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,2,2,10,15,12,17,29
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,26,37,27,39,66
PUERTO RICO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,0,0,0,3,0,3
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,1,19,21,20,22,42
PUNA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,7,10,54,60,61,70,131
PUNATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,4,4,14,12,18,16,34
QUILLACOLLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,16,10,183,179,199,189,388
QUIME,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
RAQAYPAMPA(ETA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,5,3,5,3,8
RAVELO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,6,2,96,74,102,76,178
RIBERALTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,17,20,18,16,35,36,71
RURRENABAQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
SABAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,2,2,2,2,4
SACABA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,7,11,65,47,72,58,130
SACABAMBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,3,1,6,4,9,5,14
SACACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,9,10,67,59,76,69,145
SAIPINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,1,2,8,11,9,13,22
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,3,11,3,11,6,17
SAMAIPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,1,8,5,8,6,14
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
