municipality,group,variable,month,Tratamientos iniciados en el mes a niños meno,TOTAL
CARAPARI,chagas,tratamientos iniciados en el mes a ninos meno,2005-01-01,1,1
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-02-01,2,2
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-03-01,1,1
CABEZAS,chagas,tratamientos iniciados en el mes a ninos meno,2005-04-01,2,2
CARAPARI,chagas,tratamientos iniciados en el mes a ninos meno,2005-04-01,1,1
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-04-01,1,1
MAIRANA,chagas,tratamientos iniciados en el mes a ninos meno,2005-04-01,4,4
CARAPARI,chagas,tratamientos iniciados en el mes a ninos meno,2005-05-01,1,1
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-05-01,2,2
MAIRANA,chagas,tratamientos iniciados en el mes a ninos meno,2005-05-01,17,17
SAN LUCAS,chagas,tratamientos iniciados en el mes a ninos meno,2005-05-01,15,15
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-06-01,5,5
POTOSI,chagas,tratamientos iniciados en el mes a ninos meno,2005-06-01,1,1
SUCRE,chagas,tratamientos iniciados en el mes a ninos meno,2005-06-01,2,2
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-07-01,1,1
SAN LUCAS,chagas,tratamientos iniciados en el mes a ninos meno,2005-07-01,2,2
YACUIBA,chagas,tratamientos iniciados en el mes a ninos meno,2005-07-01,1,1
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-08-01,4,4
POSTRER VALLE,chagas,tratamientos iniciados en el mes a ninos meno,2005-08-01,67,67
SAN JOSE DE CHIQUITOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-08-01,17,17
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-09-01,4,4
SAN LUCAS,chagas,tratamientos iniciados en el mes a ninos meno,2005-09-01,4,4
EL VILLAR,chagas,tratamientos iniciados en el mes a ninos meno,2005-10-01,6,6
SANTIVAÑES,chagas,tratamientos iniciados en el mes a ninos meno,2005-10-01,1,1
TARIJA,chagas,tratamientos iniciados en el mes a ninos meno,2005-10-01,2,2
ENTRE RIOS,chagas,tratamientos iniciados en el mes a ninos meno,2005-11-01,1,1
YACUIBA,chagas,tratamientos iniciados en el mes a ninos meno,2005-11-01,11,11
CARAPARI,chagas,tratamientos iniciados en el mes a ninos meno,2005-12-01,2,2
TUPIZA,chagas,tratamientos iniciados en el mes a ninos meno,2005-12-01,2,2
