municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2017-01-01,14,14
ACHACACHI,otras actividades de enfermeria,sueros,2017-01-01,127,127
ACHOCALLA,otras actividades de enfermeria,sueros,2017-01-01,8,8
AIQUILE,otras actividades de enfermeria,sueros,2017-01-01,91,91
ALALAY,otras actividades de enfermeria,sueros,2017-01-01,2,2
ALCALA,otras actividades de enfermeria,sueros,2017-01-01,12,12
ALTO BENI,otras actividades de enfermeria,sueros,2017-01-01,19,19
ANCORAIMES,otras actividades de enfermeria,sueros,2017-01-01,15,15
ANDAMARCA,otras actividades de enfermeria,sueros,2017-01-01,8,8
ANTEQUERA,otras actividades de enfermeria,sueros,2017-01-01,2,2
ANZALDO,otras actividades de enfermeria,sueros,2017-01-01,35,35
APOLO,otras actividades de enfermeria,sueros,2017-01-01,37,37
ARAMPAMPA,otras actividades de enfermeria,sueros,2017-01-01,13,13
ARANI,otras actividades de enfermeria,sueros,2017-01-01,10,10
ARBIETO,otras actividades de enfermeria,sueros,2017-01-01,8,8
ARQUE,otras actividades de enfermeria,sueros,2017-01-01,5,5
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2017-01-01,597,597
ATOCHA,otras actividades de enfermeria,sueros,2017-01-01,71,71
AUCAPATA,otras actividades de enfermeria,sueros,2017-01-01,2,2
AYATA,otras actividades de enfermeria,sueros,2017-01-01,14,14
AYO AYO,otras actividades de enfermeria,sueros,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2017-01-01,66,66
AZURDUY,otras actividades de enfermeria,sueros,2017-01-01,42,42
BATALLAS,otras actividades de enfermeria,sueros,2017-01-01,17,17
BAURES,otras actividades de enfermeria,sueros,2017-01-01,47,47
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2017-01-01,3,3
BELLA FLOR,otras actividades de enfermeria,sueros,2017-01-01,32,32
BERMEJO,otras actividades de enfermeria,sueros,2017-01-01,2044,2044
BETANZOS,otras actividades de enfermeria,sueros,2017-01-01,86,86
BOLIVAR,otras actividades de enfermeria,sueros,2017-01-01,2,2
BOLPEBRA,otras actividades de enfermeria,sueros,2017-01-01,28,28
BOYUIBE,otras actividades de enfermeria,sueros,2017-01-01,89,89
BUENA VISTA,otras actividades de enfermeria,sueros,2017-01-01,41,41
CABEZAS,otras actividades de enfermeria,sueros,2017-01-01,193,193
CAIROMA,otras actividades de enfermeria,sueros,2017-01-01,18,18
"CAIZA ""D""",otras actividades de enfermeria,sueros,2017-01-01,24,24
CAJUATA,otras actividades de enfermeria,sueros,2017-01-01,25,25
CALACOTO,otras actividades de enfermeria,sueros,2017-01-01,1,1
CALAMARCA,otras actividades de enfermeria,sueros,2017-01-01,19,19
CAMARGO,otras actividades de enfermeria,sueros,2017-01-01,346,346
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2017-01-01,50,50
CAMIRI,otras actividades de enfermeria,sueros,2017-01-01,1931,1931
CAPINOTA,otras actividades de enfermeria,sueros,2017-01-01,49,49
CAQUIAVIRI,otras actividades de enfermeria,sueros,2017-01-01,6,6
CARACOLLO,otras actividades de enfermeria,sueros,2017-01-01,62,62
CARANAVI,otras actividades de enfermeria,sueros,2017-01-01,373,373
CARAPARI,otras actividades de enfermeria,sueros,2017-01-01,107,107
CARIPUYO,otras actividades de enfermeria,sueros,2017-01-01,33,33
CARMEN RIVERO TORREZ,otras actividades de enfermeria,sueros,2017-01-01,38,38
CATACORA,otras actividades de enfermeria,sueros,2017-01-01,2,2
CHACARILLA,otras actividades de enfermeria,sueros,2017-01-01,2,2
CHALLAPATA,otras actividades de enfermeria,sueros,2017-01-01,160,160
CHAQUI,otras actividades de enfermeria,sueros,2017-01-01,15,15
CHARAGUA,otras actividades de enfermeria,sueros,2017-01-01,175,175
CHARAÑA,otras actividades de enfermeria,sueros,2017-01-01,2,2
CHAYANTA,otras actividades de enfermeria,sueros,2017-01-01,18,18
CHIMORE,otras actividades de enfermeria,sueros,2017-01-01,75,75
CHOQUE COTA,otras actividades de enfermeria,sueros,2017-01-01,1,1
CHUA COCANI,otras actividades de enfermeria,sueros,2017-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,sueros,2017-01-01,92,92
CHUMA,otras actividades de enfermeria,sueros,2017-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,sueros,2017-01-01,11,11
CKOCHAS,otras actividades de enfermeria,sueros,2017-01-01,30,30
CLIZA,otras actividades de enfermeria,sueros,2017-01-01,33,33
COBIJA,otras actividades de enfermeria,sueros,2017-01-01,2018,2018
COCAPATA,otras actividades de enfermeria,sueros,2017-01-01,12,12
COCHABAMBA,otras actividades de enfermeria,sueros,2017-01-01,17781,17781
COIPASA,otras actividades de enfermeria,sueros,2017-01-01,3,3
COLCAPIRHUA,otras actividades de enfermeria,sueros,2017-01-01,558,558
"COLCHA ""K""",otras actividades de enfermeria,sueros,2017-01-01,35,35
COLLANA,otras actividades de enfermeria,sueros,2017-01-01,3,3
COLOMI,otras actividades de enfermeria,sueros,2017-01-01,36,36
COLPA BELGICA,otras actividades de enfermeria,sueros,2017-01-01,34,34
COLQUECHACA,otras actividades de enfermeria,sueros,2017-01-01,19,19
COLQUENCHA,otras actividades de enfermeria,sueros,2017-01-01,8,8
COLQUIRI,otras actividades de enfermeria,sueros,2017-01-01,29,29
COMANCHE,otras actividades de enfermeria,sueros,2017-01-01,3,3
COMARAPA,otras actividades de enfermeria,sueros,2017-01-01,104,104
COMBAYA,otras actividades de enfermeria,sueros,2017-01-01,1,1
CONCEPCION,otras actividades de enfermeria,sueros,2017-01-01,129,129
COPACABANA,otras actividades de enfermeria,sueros,2017-01-01,46,46
CORIPATA,otras actividades de enfermeria,sueros,2017-01-01,59,59
CORO CORO,otras actividades de enfermeria,sueros,2017-01-01,3,3
COROICO,otras actividades de enfermeria,sueros,2017-01-01,311,311
CORQUE,otras actividades de enfermeria,sueros,2017-01-01,8,8
COTAGAITA,otras actividades de enfermeria,sueros,2017-01-01,121,121
COTOCA,otras actividades de enfermeria,sueros,2017-01-01,794,794
CUATRO CAÑADAS,otras actividades de enfermeria,sueros,2017-01-01,115,115
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,sueros,2017-01-01,4,4
CUEVO,otras actividades de enfermeria,sueros,2017-01-01,17,17
CULPINA,otras actividades de enfermeria,sueros,2017-01-01,161,161
CURAHUARA DE CARANGAS,otras actividades de enfermeria,sueros,2017-01-01,3,3
CURVA,otras actividades de enfermeria,sueros,2017-01-01,6,6
DESAGUADERO,otras actividades de enfermeria,sueros,2017-01-01,2,2
EL ALTO,otras actividades de enfermeria,sueros,2017-01-01,11787,11787
EL CHORO,otras actividades de enfermeria,sueros,2017-01-01,4,4
EL PUENTE(STC),otras actividades de enfermeria,sueros,2017-01-01,37,37
EL PUENTE(TJA),otras actividades de enfermeria,sueros,2017-01-01,41,41
EL TORNO,otras actividades de enfermeria,sueros,2017-01-01,2171,2171
EL VILLAR,otras actividades de enfermeria,sueros,2017-01-01,29,29
ENTRE RIOS TRJ,otras actividades de enfermeria,sueros,2017-01-01,203,203
ENTRE RIOS CBBA,otras actividades de enfermeria,sueros,2017-01-01,82,82
ESCOMA,otras actividades de enfermeria,sueros,2017-01-01,26,26
ESMERALDA,otras actividades de enfermeria,sueros,2017-01-01,5,5
