municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2017-01-01,1,1
ACHACACHI,otras actividades de enfermeria,otras actividades,2017-01-01,165,165
ACHOCALLA,otras actividades de enfermeria,otras actividades,2017-01-01,29,29
AIQUILE,otras actividades de enfermeria,otras actividades,2017-01-01,62,62
ALCALA,otras actividades de enfermeria,otras actividades,2017-01-01,5,5
ALTO BENI,otras actividades de enfermeria,otras actividades,2017-01-01,6,6
ANCORAIMES,otras actividades de enfermeria,otras actividades,2017-01-01,14,14
ANDAMARCA,otras actividades de enfermeria,otras actividades,2017-01-01,13,13
ANTEQUERA,otras actividades de enfermeria,otras actividades,2017-01-01,31,31
ANZALDO,otras actividades de enfermeria,otras actividades,2017-01-01,13,13
APOLO,otras actividades de enfermeria,otras actividades,2017-01-01,67,67
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2017-01-01,3,3
ARANI,otras actividades de enfermeria,otras actividades,2017-01-01,6,6
ARBIETO,otras actividades de enfermeria,otras actividades,2017-01-01,3,3
ARQUE,otras actividades de enfermeria,otras actividades,2017-01-01,4,4
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2017-01-01,1067,1067
ATOCHA,otras actividades de enfermeria,otras actividades,2017-01-01,935,935
AUCAPATA,otras actividades de enfermeria,otras actividades,2017-01-01,6,6
AYATA,otras actividades de enfermeria,otras actividades,2017-01-01,10,10
AYO AYO,otras actividades de enfermeria,otras actividades,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2017-01-01,34,34
BATALLAS,otras actividades de enfermeria,otras actividades,2017-01-01,6,6
BAURES,otras actividades de enfermeria,otras actividades,2017-01-01,77,77
BELEN DE ANDAMARCA,otras actividades de enfermeria,otras actividades,2017-01-01,3,3
BELLA FLOR,otras actividades de enfermeria,otras actividades,2017-01-01,2,2
BERMEJO,otras actividades de enfermeria,otras actividades,2017-01-01,21365,21365
BETANZOS,otras actividades de enfermeria,otras actividades,2017-01-01,322,322
BOLIVAR,otras actividades de enfermeria,otras actividades,2017-01-01,1,1
BOYUIBE,otras actividades de enfermeria,otras actividades,2017-01-01,15,15
BUENA VISTA,otras actividades de enfermeria,otras actividades,2017-01-01,74,74
CABEZAS,otras actividades de enfermeria,otras actividades,2017-01-01,307,307
CAIROMA,otras actividades de enfermeria,otras actividades,2017-01-01,1,1
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2017-01-01,6,6
CAJUATA,otras actividades de enfermeria,otras actividades,2017-01-01,1,1
CALACOTO,otras actividades de enfermeria,otras actividades,2017-01-01,4,4
CALAMARCA,otras actividades de enfermeria,otras actividades,2017-01-01,3,3
CAMARGO,otras actividades de enfermeria,otras actividades,2017-01-01,3394,3394
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2017-01-01,7,7
CAMIRI,otras actividades de enfermeria,otras actividades,2017-01-01,13170,13170
CAPINOTA,otras actividades de enfermeria,otras actividades,2017-01-01,13,13
CARACOLLO,otras actividades de enfermeria,otras actividades,2017-01-01,32,32
CARANAVI,otras actividades de enfermeria,otras actividades,2017-01-01,14614,14614
CARAPARI,otras actividades de enfermeria,otras actividades,2017-01-01,280,280
CHACARILLA,otras actividades de enfermeria,otras actividades,2017-01-01,2,2
CHALLAPATA,otras actividades de enfermeria,otras actividades,2017-01-01,3073,3073
CHAQUI,otras actividades de enfermeria,otras actividades,2017-01-01,10,10
CHARAGUA,otras actividades de enfermeria,otras actividades,2017-01-01,76,76
CHAYANTA,otras actividades de enfermeria,otras actividades,2017-01-01,257,257
CHIMORE,otras actividades de enfermeria,otras actividades,2017-01-01,245,245
CHIPAYA,otras actividades de enfermeria,otras actividades,2017-01-01,1,1
CHOQUE COTA,otras actividades de enfermeria,otras actividades,2017-01-01,2,2
CHUA COCANI,otras actividades de enfermeria,otras actividades,2017-01-01,10,10
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2017-01-01,4,4
CHUMA,otras actividades de enfermeria,otras actividades,2017-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2017-01-01,5,5
CKOCHAS,otras actividades de enfermeria,otras actividades,2017-01-01,5,5
CLIZA,otras actividades de enfermeria,otras actividades,2017-01-01,14,14
COBIJA,otras actividades de enfermeria,otras actividades,2017-01-01,1559,1559
COCAPATA,otras actividades de enfermeria,otras actividades,2017-01-01,1,1
COCHABAMBA,otras actividades de enfermeria,otras actividades,2017-01-01,70424,70424
COIPASA,otras actividades de enfermeria,otras actividades,2017-01-01,2,2
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2017-01-01,2300,2300
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2017-01-01,42,42
COLLANA,otras actividades de enfermeria,otras actividades,2017-01-01,92,92
COLOMI,otras actividades de enfermeria,otras actividades,2017-01-01,34,34
COLPA BELGICA,otras actividades de enfermeria,otras actividades,2017-01-01,59,59
COLQUECHACA,otras actividades de enfermeria,otras actividades,2017-01-01,52,52
COLQUENCHA,otras actividades de enfermeria,otras actividades,2017-01-01,4,4
COLQUIRI,otras actividades de enfermeria,otras actividades,2017-01-01,6,6
COMANCHE,otras actividades de enfermeria,otras actividades,2017-01-01,1,1
COMARAPA,otras actividades de enfermeria,otras actividades,2017-01-01,10,10
COMBAYA,otras actividades de enfermeria,otras actividades,2017-01-01,40,40
