municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,30,30
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,281,281
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,104,104
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,252,252
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,5,5
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,35,35
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,77,77
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,116,116
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,56,56
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,14,14
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,27,27
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,44,44
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,21,21
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,101,101
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,157,157
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,22,22
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,682,682
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,397,397
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,27,27
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,36,36
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,37,37
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,96,96
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,37,37
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,31,31
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,144,144
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,12,12
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,21,21
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2017-01-01,33,33
