,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,exodoncia,2017-01-01,0,0,4,1,0,0,0,0,0,1,0,0,0,0,6
ACHACACHI,atencion odontologica,exodoncia,2017-01-01,5,5,13,24,5,19,7,19,13,7,0,0,0,0,117
ACHOCALLA,atencion odontologica,exodoncia,2017-01-01,3,5,9,11,5,4,3,13,5,8,0,0,0,0,66
AIQUILE,atencion odontologica,exodoncia,2017-01-01,2,1,7,1,0,1,0,2,3,5,0,0,0,0,22
ALALAY,atencion odontologica,exodoncia,2017-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
ALCALA,atencion odontologica,exodoncia,2017-01-01,0,0,0,2,0,1,1,6,3,0,0,0,0,0,13
ALTO BENI,atencion odontologica,exodoncia,2017-01-01,0,0,2,3,4,1,6,4,12,3,0,0,0,0,35
ANCORAIMES,atencion odontologica,exodoncia,2017-01-01,0,1,4,6,4,4,12,17,18,13,0,0,0,0,79
ANDAMARCA,atencion odontologica,exodoncia,2017-01-01,0,0,0,6,1,2,5,5,2,3,0,0,0,0,24
ANTEQUERA,atencion odontologica,exodoncia,2017-01-01,0,0,2,6,1,1,3,0,1,0,0,0,0,0,14
ANZALDO,atencion odontologica,exodoncia,2017-01-01,0,0,1,2,0,0,5,8,1,4,0,0,0,0,21
APOLO,atencion odontologica,exodoncia,2017-01-01,0,2,15,12,0,9,11,23,23,11,0,0,0,0,106
ARAMPAMPA,atencion odontologica,exodoncia,2017-01-01,0,0,0,1,1,0,6,10,1,2,0,0,0,0,21
ARANI,atencion odontologica,exodoncia,2017-01-01,0,0,4,3,0,0,2,1,0,3,0,0,0,0,13
ARBIETO,atencion odontologica,exodoncia,2017-01-01,0,0,4,3,0,3,1,4,1,10,0,0,0,0,26
