,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CAPINOTA,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,0,0,3,5,0,0,0,3,0,9,0,0,0,0,20
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,0,0,2,0,0,0,8,0,0,0,0,0,0,0,10
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,1,4,6,4,2,4,25,25,0,4,0,0,0,0,75
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,0,1,1,0,1,0,8,8,4,0,0,0,0,0,23
SAN JUAN DE YAPACANI,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,2,2,2,4,2,2,6,15,0,0,0,0,0,0,35
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2017-01-01,2,2,1,2,0,0,0,1,0,0,0,0,0,0,8
