,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
ACHACACHI,atencion odontologica,periodoncia,2017-01-01,0,0,1,0,0,0,3,7,0,1,0,0,0,0,12
ACHOCALLA,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
AIQUILE,atencion odontologica,periodoncia,2017-01-01,0,0,0,1,0,1,8,17,4,6,0,0,0,0,37
ALALAY,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ALCALA,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
ALTO BENI,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
ANCORAIMES,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
ANDAMARCA,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,0,9,0,1,0,0,0,0,10
APOLO,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,3,3,1,0,0,0,0,0,7
ARAMPAMPA,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,1,0,0,2,2,1,0,0,0,0,6
ARANI,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ARBIETO,atencion odontologica,periodoncia,2017-01-01,0,0,2,0,2,4,3,17,4,9,0,0,0,0,41
ARQUE,atencion odontologica,periodoncia,2017-01-01,0,0,0,0,0,2,0,1,0,2,0,0,0,0,5
