,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,0,0,1,1,1,2,2,0,0,0,0,0,7
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,4,1,1,0,0,1,0,0,0,0,0,0,7
CAPINOTA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,1,3,0,0,0,0,1,1,0,7,0,0,0,0,13
CARANAVI,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,6,1,16,14,0,4,8,20,1,3,0,0,0,0,73
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2017-01-01,1,0,1,4,0,3,6,6,3,0,0,0,0,0,24
