,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2017-01-01,2,2,1,1,4,0,0,4,0,0,0,0,0,0,14
ACHACACHI,atencion odontologica,restauraciones,2017-01-01,56,57,32,48,19,22,19,35,11,4,0,0,0,0,303
ACHOCALLA,atencion odontologica,restauraciones,2017-01-01,12,21,4,6,2,4,3,21,0,0,0,0,0,0,73
AIQUILE,atencion odontologica,restauraciones,2017-01-01,24,53,34,41,5,77,20,83,16,19,0,0,0,0,372
ALALAY,atencion odontologica,restauraciones,2017-01-01,10,3,0,2,0,2,1,0,0,3,0,0,0,0,21
ALCALA,atencion odontologica,restauraciones,2017-01-01,10,0,4,10,1,11,4,36,1,2,0,0,0,0,79
ALTO BENI,atencion odontologica,restauraciones,2017-01-01,17,13,9,5,5,8,5,22,5,0,0,0,0,0,89
ANCORAIMES,atencion odontologica,restauraciones,2017-01-01,9,5,2,3,3,6,6,9,4,4,0,0,0,0,51
ANDAMARCA,atencion odontologica,restauraciones,2017-01-01,1,3,5,12,0,1,15,50,6,7,0,0,0,0,100
ANTEQUERA,atencion odontologica,restauraciones,2017-01-01,4,7,10,3,0,9,3,3,1,0,0,0,0,0,40
ANZALDO,atencion odontologica,restauraciones,2017-01-01,0,0,0,0,2,1,0,4,2,0,0,0,0,0,9
APOLO,atencion odontologica,restauraciones,2017-01-01,18,45,3,11,7,13,12,26,1,4,0,0,0,0,140
ARAMPAMPA,atencion odontologica,restauraciones,2017-01-01,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7
ARANI,atencion odontologica,restauraciones,2017-01-01,2,8,5,10,8,8,1,8,0,0,0,0,0,0,50
