,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,aplicacion de fluor,2017-01-01,0,0,0,10,0,0,0,1,0,0,0,0,0,0,11
ACHACACHI,atencion odontologica,aplicacion de fluor,2017-01-01,11,7,3,0,0,0,0,1,0,0,0,0,0,0,22
ACHOCALLA,atencion odontologica,aplicacion de fluor,2017-01-01,3,6,1,0,0,0,0,0,0,0,0,0,0,0,10
AIQUILE,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,2,1,0,0,0,2,1,0,0,0,0,0,7
ALTO BENI,atencion odontologica,aplicacion de fluor,2017-01-01,22,21,4,5,0,0,0,1,0,0,0,0,0,0,53
ANCORAIMES,atencion odontologica,aplicacion de fluor,2017-01-01,2,6,0,0,0,0,0,0,0,0,0,0,0,0,8
ANDAMARCA,atencion odontologica,aplicacion de fluor,2017-01-01,0,2,0,0,0,0,1,1,15,15,0,0,0,0,34
APOLO,atencion odontologica,aplicacion de fluor,2017-01-01,3,8,1,0,0,0,0,0,0,0,0,0,0,0,12
ARAMPAMPA,atencion odontologica,aplicacion de fluor,2017-01-01,5,6,0,0,0,0,0,0,0,0,0,0,0,0,11
ARANI,atencion odontologica,aplicacion de fluor,2017-01-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
ARBIETO,atencion odontologica,aplicacion de fluor,2017-01-01,3,1,1,0,0,0,0,1,0,0,0,0,0,0,6
ASCENCION DE GUARAYOS,atencion odontologica,aplicacion de fluor,2017-01-01,28,8,0,0,0,3,0,4,0,0,0,0,0,0,43
