,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2017-01-01,2,1,6,17,4,0,0,11,0,1,0,0,0,6,48
ACHACACHI,atencion odontologica,consulta nueva,2017-01-01,163,167,79,107,32,75,42,152,55,27,0,16,0,47,962
ACHOCALLA,atencion odontologica,consulta nueva,2017-01-01,88,117,23,33,14,19,11,104,7,4,0,25,0,16,461
AIQUILE,atencion odontologica,consulta nueva,2017-01-01,69,146,80,64,6,46,38,75,43,51,0,34,0,87,739
ALALAY,atencion odontologica,consulta nueva,2017-01-01,11,0,4,3,15,1,14,1,4,1,0,4,0,1,59
ALCALA,atencion odontologica,consulta nueva,2017-01-01,46,30,4,14,1,20,9,42,4,0,0,3,0,7,180
ALTO BENI,atencion odontologica,consulta nueva,2017-01-01,47,40,17,15,10,10,13,42,22,4,0,13,0,17,250
ANCORAIMES,atencion odontologica,consulta nueva,2017-01-01,13,17,6,9,8,16,23,37,26,19,0,1,0,0,175
ANDAMARCA,atencion odontologica,consulta nueva,2017-01-01,5,12,6,23,3,9,29,81,53,58,0,15,0,22,316
ANTEQUERA,atencion odontologica,consulta nueva,2017-01-01,6,14,15,9,3,13,8,7,3,0,0,2,0,2,82
ANZALDO,atencion odontologica,consulta nueva,2017-01-01,1,0,2,2,3,1,9,22,4,8,0,0,0,0,52
APOLO,atencion odontologica,consulta nueva,2017-01-01,71,112,20,30,5,25,23,67,34,23,0,10,0,43,463
ARAMPAMPA,atencion odontologica,consulta nueva,2017-01-01,23,17,0,2,2,5,6,21,8,10,0,8,0,10,112
