,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2017-01-01,0,0,5,2,0,0,0,3,0,1,0,0,0,0,11
ACHACACHI,atencion odontologica,cirugia bucal menor,2017-01-01,6,5,14,26,6,20,8,22,13,7,0,0,0,0,127
ACHOCALLA,atencion odontologica,cirugia bucal menor,2017-01-01,3,5,9,11,5,4,3,13,5,8,0,0,0,0,66
AIQUILE,atencion odontologica,cirugia bucal menor,2017-01-01,0,0,3,3,0,0,0,1,2,1,0,0,0,0,10
ALALAY,atencion odontologica,cirugia bucal menor,2017-01-01,0,1,3,0,0,3,0,1,1,0,0,0,0,0,9
ALCALA,atencion odontologica,cirugia bucal menor,2017-01-01,3,3,3,6,0,6,7,15,4,1,0,0,0,0,48
ALTO BENI,atencion odontologica,cirugia bucal menor,2017-01-01,1,0,2,3,4,1,6,4,12,3,0,0,0,0,36
ANCORAIMES,atencion odontologica,cirugia bucal menor,2017-01-01,0,3,4,6,4,6,14,23,19,15,0,0,0,0,94
ANDAMARCA,atencion odontologica,cirugia bucal menor,2017-01-01,0,0,1,6,1,2,5,8,2,6,0,0,0,0,31
ANTEQUERA,atencion odontologica,cirugia bucal menor,2017-01-01,0,0,2,6,2,1,3,1,1,0,0,0,0,0,16
ANZALDO,atencion odontologica,cirugia bucal menor,2017-01-01,1,0,2,2,1,0,6,17,2,8,0,0,0,0,39
APOLO,atencion odontologica,cirugia bucal menor,2017-01-01,0,3,15,12,0,10,12,27,25,13,0,0,0,0,117
