,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2017-01-01,1,1,1,1,2,0,0,3,0,0,0,0,0,2,11
ACHACACHI,atencion odontologica,consulta repetida,2017-01-01,43,25,16,10,12,11,9,26,10,2,0,0,0,4,168
ACHOCALLA,atencion odontologica,consulta repetida,2017-01-01,4,9,0,2,1,1,0,7,0,1,0,3,0,0,28
AIQUILE,atencion odontologica,consulta repetida,2017-01-01,17,30,11,15,1,10,16,17,11,20,0,2,0,23,173
ALALAY,atencion odontologica,consulta repetida,2017-01-01,1,0,1,0,0,0,5,0,0,0,0,0,0,0,7
ALCALA,atencion odontologica,consulta repetida,2017-01-01,0,0,2,10,2,24,3,20,0,0,0,0,0,3,64
ALTO BENI,atencion odontologica,consulta repetida,2017-01-01,1,1,0,0,0,3,2,0,3,1,0,3,0,0,14
ANDAMARCA,atencion odontologica,consulta repetida,2017-01-01,0,0,0,0,1,0,1,2,1,3,0,1,0,1,10
ANTEQUERA,atencion odontologica,consulta repetida,2017-01-01,0,0,2,0,0,11,6,0,4,0,0,0,0,0,23
APOLO,atencion odontologica,consulta repetida,2017-01-01,2,13,2,4,4,3,8,11,1,0,0,1,0,0,49
ARAMPAMPA,atencion odontologica,consulta repetida,2017-01-01,0,0,0,0,0,0,1,2,0,0,0,1,0,0,4
ARANI,atencion odontologica,consulta repetida,2017-01-01,0,0,3,4,0,3,1,10,0,2,0,1,0,1,25
ARBIETO,atencion odontologica,consulta repetida,2017-01-01,0,0,1,0,1,3,0,6,0,0,0,0,0,2,13
