,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,endodoncia,2017-01-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
ACHACACHI,atencion odontologica,endodoncia,2017-01-01,8,6,3,4,7,4,1,8,3,0,0,0,0,0,44
ACHOCALLA,atencion odontologica,endodoncia,2017-01-01,12,26,1,1,1,2,0,9,0,0,0,0,0,0,52
AIQUILE,atencion odontologica,endodoncia,2017-01-01,0,1,2,8,0,0,3,6,2,2,0,0,0,0,24
ALCALA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,2,0,6,0,0,0,0,0,0,8
ALTO BENI,atencion odontologica,endodoncia,2017-01-01,1,2,1,2,1,1,2,9,0,1,0,0,0,0,20
ANCORAIMES,atencion odontologica,endodoncia,2017-01-01,0,1,0,0,1,0,2,0,0,0,0,0,0,0,4
ANDAMARCA,atencion odontologica,endodoncia,2017-01-01,1,0,0,0,1,1,0,5,0,0,0,0,0,0,8
ANTEQUERA,atencion odontologica,endodoncia,2017-01-01,0,0,0,0,0,3,1,0,1,0,0,0,0,0,5
APOLO,atencion odontologica,endodoncia,2017-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7
ARAMPAMPA,atencion odontologica,endodoncia,2017-01-01,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3
ARANI,atencion odontologica,endodoncia,2017-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
ARBIETO,atencion odontologica,endodoncia,2017-01-01,7,1,3,1,0,0,0,6,2,5,0,0,0,0,25
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2017-01-01,3,5,1,0,1,2,9,7,3,0,0,0,0,0,31
