,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CARANAVI,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COTOCA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,0,2,0,0,3,0,3,0,0,0,0,0,0,8
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,0,3,0,2,7,4,0,0,0,0,0,0,0,16
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial  mediana,2017-01-01,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5
