,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2017-01-01,2,1,6,4,1,0,1,9,1,2,0,1,0,3,31
ACHACACHI,atencion odontologica,primera consulta,2017-01-01,50,46,20,26,12,25,16,54,19,12,0,12,0,14,306
ACHOCALLA,atencion odontologica,primera consulta,2017-01-01,99,113,16,23,13,12,7,77,8,10,0,26,0,33,437
AIQUILE,atencion odontologica,primera consulta,2017-01-01,13,22,15,14,4,12,18,27,15,13,0,9,0,6,168
ALALAY,atencion odontologica,primera consulta,2017-01-01,2,1,2,4,1,7,1,3,1,1,0,1,0,1,25
ALCALA,atencion odontologica,primera consulta,2017-01-01,38,35,7,15,2,16,14,38,3,3,0,8,0,6,185
ALTO BENI,atencion odontologica,primera consulta,2017-01-01,31,34,15,9,8,7,12,27,18,3,0,7,0,9,180
ANCORAIMES,atencion odontologica,primera consulta,2017-01-01,4,3,2,2,0,2,2,10,7,4,0,1,0,0,37
ANDAMARCA,atencion odontologica,primera consulta,2017-01-01,3,2,4,13,3,4,13,32,19,23,0,4,0,3,123
ANTEQUERA,atencion odontologica,primera consulta,2017-01-01,2,4,4,5,4,4,5,8,1,1,0,2,0,1,41
ANZALDO,atencion odontologica,primera consulta,2017-01-01,1,0,2,2,1,2,6,16,3,6,0,0,0,1,40
APOLO,atencion odontologica,primera consulta,2017-01-01,29,43,15,17,3,11,10,28,8,4,0,4,0,9,181
ARAMPAMPA,atencion odontologica,primera consulta,2017-01-01,12,8,0,2,2,2,5,13,7,9,0,4,0,4,68
