,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2017-01-01,0,15,0,0,0,0,0,1,0,0,0,0,0,0,16
ACHACACHI,atencion odontologica,medidas preventivas,2017-01-01,31,44,22,29,3,6,3,15,4,1,0,0,0,0,158
ACHOCALLA,atencion odontologica,medidas preventivas,2017-01-01,33,43,3,3,1,5,0,9,1,2,0,0,0,0,100
AIQUILE,atencion odontologica,medidas preventivas,2017-01-01,50,83,84,93,7,28,35,69,32,22,0,0,0,0,503
ALALAY,atencion odontologica,medidas preventivas,2017-01-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
ALCALA,atencion odontologica,medidas preventivas,2017-01-01,31,24,0,1,0,1,0,3,0,0,0,0,0,0,60
ALTO BENI,atencion odontologica,medidas preventivas,2017-01-01,23,22,6,5,0,1,1,2,1,0,0,0,0,0,61
ANCORAIMES,atencion odontologica,medidas preventivas,2017-01-01,2,6,0,0,0,0,0,0,0,0,0,0,0,0,8
ANDAMARCA,atencion odontologica,medidas preventivas,2017-01-01,3,8,0,1,0,0,2,2,30,30,0,0,0,0,76
ANTEQUERA,atencion odontologica,medidas preventivas,2017-01-01,2,7,1,0,0,3,0,2,0,0,0,0,0,0,15
APOLO,atencion odontologica,medidas preventivas,2017-01-01,36,60,4,6,1,6,1,11,5,3,0,0,0,0,133
ARAMPAMPA,atencion odontologica,medidas preventivas,2017-01-01,18,16,0,0,0,2,0,0,1,4,0,0,0,0,41
