,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,0,2,0,2
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,2,2,2,4
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,9,3,9,3,12
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,18,26,18,26,44
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,2,0,2,2
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,2,2,2,4
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,2,0,2,2
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,17,13,17,13,30
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,1,2,1,3
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,6,6,6,6,12
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,18,0,18,0,18
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,7,2,7,9
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,32,20,32,20,52
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,4,3,4,7
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,16,12,16,12,28
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,6,3,6,9
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,0,2,0,2
ENTRE RIOS TRJ,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,0,1,0,1
ENTRE RIOS CBBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,2,0,2,0,2
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,13,13,13,13,26
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,8,5,8,5,13
GRAL. J.J. PEREZ (CHARAZANI),diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,1,2,1,2,3
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,19,10,19,10,29
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,11,11,11,11,22
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,12,12,12,12,24
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,0,3,0,3
INCAHUASI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,17,9,17,9,26
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,15,13,15,13,28
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,23,26,23,26,49
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,3,3,3,6
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,3,3,3,6
MACHARETI,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,5,4,5,4,9
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,0,1,0,1,1
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,0,3,0,3
MOJINETE,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,3,2,3,2,5
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-01-01,18,18,18,18,36
