,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,1,1,1,2
ALTO BENI,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,3,0,3,0,3
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,12,3,12,3,15
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,14,21,14,21,35
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,0,2,0,2,2
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,0,1,0,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,20,14,20,14,34
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,27,15,27,15,42
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,5,0,5,0,5
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,23,6,23,6,29
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-01-01,3,2,3,2,5
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,7,7,7,7,14
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,4,6,4,6,10
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,102,52,102,52,154
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,8,5,8,5,13
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,2,1,2,3
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,0,1,0,1
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,0,1,0,1,1
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,105,112,105,112,217
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2010-01-01,16,27,16,27,43
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,2,1,2,3
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,8,6,8,6,14
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,31,35,31,35,66
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,16,16,16,16,32
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,1,1,1,2
HUACARETA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,2,3,2,3,5
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,3,1,3,4
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,5,1,5,1,6
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,180,238,180,238,418
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,11,17,11,17,28
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,0,2,0,2,2
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,14,9,14,9,23
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,72,56,72,56,128
MOROCHATA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,0,1,0,1
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,44,3,44,3,47
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,0,1,0,1,1
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,17,24,17,24,41
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,193,28,193,28,221
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-01-01,1,1,1,1,2
