,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,0,4,0,4,4
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,3,0,3,0,3
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,4,1,4,1,5
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,4,1,4,1,5
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,7,0,7,0,7
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,7,6,7,6,13
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,15,17,15,17,32
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,0,2,0,2
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,4,12,4,12,16
EL PUENTE(TJA),diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,0,2,0,2,2
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,0,2,0,2,2
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,2,2,2,4
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,3,4,3,4,7
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,0,1,0,1,1
ICHOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,0,2,0,2
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,3,1,3,1,4
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,1,1,1,2
MACHARETI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,2,1,2,3
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,12,13,12,13,25
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,9,5,9,5,14
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,2,1,2,3
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,7,4,7,4,11
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,20,13,20,13,33
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,4,1,4,5
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,2,1,2,3
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,10,12,10,12,22
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,3,2,3,5
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,1,0,1,0,1
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,3,3,3,3,6
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,10,7,10,7,17
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,6,2,6,8
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,2,2,2,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-01-01,2,0,2,0,2
