municipality,group,variable,month,AQV masculino,TOTAL
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-01-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-02-01,14,14
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-03-01,0,0
ATOCHA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-04-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-04-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-04-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-05-01,3,3
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-05-01,0,0
SUCRE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-05-01,1,1
YACUIBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-05-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-06-01,2,2
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-07-01,6,6
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-07-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-07-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-08-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-08-01,1,1
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-08-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-09-01,1,1
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-09-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-10-01,2,2
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-10-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-10-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-11-01,2,2
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-11-01,1,1
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-11-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-11-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-12-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-12-01,3,3
PUERTO VILLARROEL,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-12-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-12-01,5,5
TARIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2008-12-01,3,3
