municipality,group,variable,month,AQV femenino,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
BETANZOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,7,7
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,8,8
CARMEN RIVERO TORREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,5,5
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,6,6
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,70,70
COLOMI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,9,9
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,4,4
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
COPACABANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,6,6
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,4,4
EL TORNO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
ENTRE RIOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,8,8
MONTEAGUDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,2,2
MONTERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
ORURO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,6,6
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
PORTACHUELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,4,4
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,7,7
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
PUERTO VILLARROEL,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
PUNATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
QUILLACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,9,9
RURRENABAQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,8,8
SACABA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,8,8
SAMAIPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
SAN BORJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
SAN IGNACIO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,5,5
SAN JULIAN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,2,2
SAN LUCAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
SANTA ANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,80,80
SUCRE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,46,46
TARIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
TIRAQUE (CBBA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,12,12
UYUNI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
VALLEGRANDE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,7,7
VILLA TUNARI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,2,2
VILLAZON,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-01-01,1,1
AZURDUY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,1,1
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,1,1
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,3,3
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,2,2
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,6,6
CHARAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,2,2
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,6,6
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,63,63
COLCAPIRHUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,2,2
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,1,1
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,8,8
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,3,3
EL TORNO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,8,8
ENTRE RIOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,5,5
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,13,13
MAGDALENA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,1,1
MONTEAGUDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,1,1
MONTERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,4,4
ORURO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,6,6
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,2,2
PATACAMAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,1,1
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,2,2
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,1,1
PUERTO VILLARROEL,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,5,5
PUNATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,2,2
QUILLACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2008-02-01,3,3
