,group,variable,month,L 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,L 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,8,4,8,4,12
ACHACACHI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,25,37,25,37,62
ACHOCALLA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,12,6,12,18
AIQUILE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,0,6,0,6
ALALAY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,3,2,3,5
ALCALA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,9,1,9,1,10
ANCORAIMES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,8,1,8,1,9
ANDAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
ANZALDO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,32,5,32,37
APOLO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,9,4,9,4,13
ARAMPAMPA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,5,3,5,8
ARANI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,3,7,3,10
ARBIETO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,20,35,20,35,55
ARQUE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,14,2,14,2,16
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,39,4,39,4,43
ATOCHA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,14,0,14,0,14
AUCAPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,5,1,5,6
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,15,52,15,52,67
AZURDUY,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,0,7,0,7
BATALLAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,21,7,21,7,28
BAURES,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,12,7,12,19
BELEN DE ANDAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,1,2,1,3
BERMEJO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,53,0,53,0,53
BETANZOS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,35,15,35,15,50
BOLPEBRA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,1,0,1,1
BOYUIBE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,0,7,0,7
BUENA VISTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,31,4,31,4,35
CABEZAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,28,12,28,12,40
"CAIZA ""D""",otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,1,5,1,6
CAJUATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,6,5,6,11
CALACOTO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
CALAMARCA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,15,6,15,6,21
CAMARGO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,14,4,14,18
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,0,3,0,3
CAMIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,40,71,40,71,111
CAPINOTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,20,6,20,6,26
CAQUIAVIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,0,4,0,4
CARACOLLO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,45,7,45,52
CARANAVI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,100,33,100,33,133
CARAPARI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,22,3,22,3,25
CARIPUYO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,4,2,4,6
CARMEN RIVERO TORREZ,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,8,2,8,2,10
CATACORA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,35,61,35,61,96
CHAQUI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,10,2,10,2,12
CHARAGUA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,23,57,23,57,80
CHAYANTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,4,2,4,6
CHIMORE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,26,11,26,11,37
CHOQUE COTA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,21,7,21,28
CHUMA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,19,2,19,2,21
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,0,43,0,43,43
CKOCHAS,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,12,2,12,14
CLIZA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,38,17,38,17,55
COBIJA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,138,9,138,9,147
COCAPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,13,11,13,11,24
COCHABAMBA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,676,41,676,41,717
COIPASA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,3,2,3,2,5
COLCAPIRHUA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,44,149,44,149,193
"COLCHA ""K""",otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,29,0,29,0,29
COLOMI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,11,15,11,15,26
COLPA BELGICA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,15,0,15,0,15
COLQUECHACA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,32,29,32,29,61
COLQUENCHA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,0,6,0,6
COLQUIRI,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,15,18,15,18,33
COMANCHE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,1,0,1,0,1
COMARAPA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,21,3,21,3,24
COMBAYA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,20,5,20,25
CONCEPCION,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,74,0,74,0,74
COPACABANA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,7,16,7,16,23
CORIPATA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,5,0,5,0,5
CORO CORO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,6,0,6,0,6
COROICO,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,4,0,4,0,4
CORQUE,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,l 21.1       mujeres de 10 a 49 anos 1ra dosis de dt,2012-01-01,21,14,21,14,35
