,group,variable,month,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,20,0,20,20
AIQUILE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,2,15,2,15,17
ALALAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,1,3,1,3,4
ANDAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,1,9,1,9,10
ANZALDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,134,0,134,134
ARANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,2,0,2,0,2
ARBIETO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,20,0,20,20
ARQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,26,61,26,61,87
ATOCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,114,0,114,114
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,4,69,4,69,73
BATALLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
BETANZOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
BOLIVAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,2,8,2,8,10
CABEZAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,10,285,10,285,295
CALACOTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,15,0,15,15
CALAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,40,0,40,40
CAPINOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,6,23,6,23,29
CARANAVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,100,0,100,100
CARAPARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,8,0,8,8
CARIPUYO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
CHARAGUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,389,0,389,389
CHIMORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,21,5,21,5,26
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,43,0,43,43
CLIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,6,10,6,10,16
COCAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,15,14,15,14,29
COCHABAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,622,60,622,60,682
COIPASA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
COLCAPIRHUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,24,8,24,8,32
"COLCHA ""K""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,17,0,17,0,17
COLOMI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,18,47,18,47,65
COLQUECHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,10,13,10,13,23
COLQUENCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,10,0,10,0,10
CONCEPCION,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,3,0,3,3
COPACABANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,53,0,53,53
CORQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,3,4,3,4,7
COTAGAITA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,29,0,29,29
COTOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,300,0,300,0,300
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,1,0,1,0,1
CULPINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,20,0,20,20
CURAHUARA DE CARANGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,10,0,10,0,10
EL ALTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,207,340,207,340,547
EL CHORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,40,0,40,40
EL PUENTE(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,28,0,28,0,28
EL TORNO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,704,0,704,704
EL VILLAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,50,0,50,0,50
ENTRE RIOS CBBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,7,82,7,82,89
ESCOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,7,0,7,7
FERNANDEZ ALONSO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,5,84,5,84,89
GENERAL SAAVEDRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,2945,0,2945,2945
HUACHACALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,4,0,4,0,4
LA ASUNTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,6,25,6,25,31
LA GUARDIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
LA PAZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,134,442,134,442,576
LURIBAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,2,0,2,2
MACHACAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,18,0,18,18
MAIRANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,316,0,316,316
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,5,105,5,105,110
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,50,50,50,50,100
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,4,40,4,40,44
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,2,126,2,126,128
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,48,0,48,48
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,10,689,10,689,699
PADCAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
PAILON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,1934,0,1934,1934
PAMPA AULLAGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,7,0,7,7
PAPEL PAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,1,0,1,0,1
PASORAPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,150,0,150,150
PATACAMAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,10,0,10,10
PAZÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,2,5,2,5,7
POJO (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,13,0,13,13
POROMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,9,0,9,9
PORONGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,211,0,211,211
POTOSI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,5,0,5,0,5
PRESTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,40,0,40,40
PUERTO CARABUCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,38,0,38,38
PUERTO PEREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,72,0,72,72
PUERTO VILLARROEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,93,0,93,93
PUNATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,18,27,18,27,45
QUILLACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,250,1439,250,1439,1689
QUIME,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,90,0,90,90
ROBORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,92,0,92,92
SACABA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,118,618,118,618,736
SACACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,23,0,23,23
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,8,0,8,8
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,10,0,10,0,10
SAN BENITO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,12,7,12,7,19
SAN IGNACIO DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,110,4,110,4,114
SAN JAVIER(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,24,0,24,0,24
SAN LORENZO(TJA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,80,0,80,80
SAN LUCAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,70,0,70,70
SAN MIGUEL DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,0,8,0,8,8
SAN PEDRO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,4,55,4,55,59
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,2293,11452,2293,11452,13745
SANTA ROSA DEL SARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-01-01,4,0,4,0,4
