,group,variable,month,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,16,0,16,0,16
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,77,0,77,0,77
LURIBAY,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,2,0,2,0,2
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,5,8,5,8,13
PADILLA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,66,0,66,0,66
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
SAN BENITO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
SANTA ANA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,50,0,50,0,50
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,23,0,23,0,23
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,16,0,16,0,16
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,8,0,8,0,8
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,1,0,1,0,1
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,5,0,5,0,5
YAMPARAEZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-01-01,6,2,6,2,8
ARBIETO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,3,0,3,0,3
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,18,0,18,0,18
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,27,0,27,0,27
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,3,0,3,0,3
FILADELFIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,2,0,2,0,2
HUMANATA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
IXIAMAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,4,0,4,0,4
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,51,0,51,0,51
LURIBAY,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,13,0,13,0,13
PAILON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,7,0,7,0,7
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,2,0,2,0,2
SAN BENITO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,4,0,4,0,4
SAN JAVIER(BNI),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,6,0,6,0,6
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,18,8,18,8,26
TOCO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,4,0,4,0,4
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,13,0,13,0,13
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,1,0,1,0,1
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-02-01,2,0,2,0,2
ATOCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,20,0,20,0,20
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,5,2,5,2,7
"CAIZA ""D""",otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,0,7,0,7,7
COCHABAMBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,23,0,23,0,23
EL TORNO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,9,0,9,0,9
HUACARETA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,189,0,189,0,189
MAGDALENA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
ORURO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,72,0,72,0,72
POTOSI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,133,0,133,0,133
SAN AGUSTIN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,6,0,6,0,6
SAN BENITO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,13,4,13,4,17
SAN CARLOS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,7,0,7,0,7
SAN JULIAN,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,5,0,5,0,5
SAN LORENZO(PND),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,3,0,3,0,3
SAN LUCAS,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,0,2,0,2,2
SAN PABLO DE LIPEZ,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,5,0,5,0,5
SAN RAMON BENI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,3,0,3,0,3
SENA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,9,0,9,0,9
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,21,0,21,0,21
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,3,0,3,0,3
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
VIACHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,4,0,4,0,4
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,52,0,52,0,52
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,8,0,8,0,8
YUNCHARA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-03-01,5,0,5,0,5
ATOCHA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,5,0,5,0,5
BERMEJO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,16,0,16,0,16
CLIZA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-04-01,1,0,1,0,1
