,group,variable,month,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,1,3,1,4
ACHACACHI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,7,7,7,7,14
ACHOCALLA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,10,11,10,11,21
AIQUILE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,0,5,0,5
ALALAY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,1,0,1,1
ALTO BENI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,11,1,11,1,12
ANCORAIMES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
ANDAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,2,0,2,2
ANTEQUERA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,17,1,17,18
APOLO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,5,4,5,9
ARAMPAMPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,3,2,3,5
ARANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,25,4,25,29
ARBIETO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,19,4,19,23
ARQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,9,1,9,1,10
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,43,2,43,2,45
ATOCHA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,0,8,0,8
AUCAPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,20,1,20,1,21
AYATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,12,36,12,36,48
AZURDUY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,0,8,0,8
BATALLAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,10,1,10,1,11
BAURES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,3,0,3,3
BERMEJO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,54,0,54,0,54
BETANZOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,16,1,16,1,17
BOLIVAR,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,5,6,5,11
BOLPEBRA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,1,3,1,4
BOYUIBE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
BUENA VISTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,20,11,20,11,31
CABEZAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,36,11,36,11,47
CAIROMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
"CAIZA ""D""",otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,0,1,0,1
CAJUATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,3,5,3,8
CALACOTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
CALAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,7,2,7,9
CAMARGO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,7,1,7,8
CAMIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,40,39,40,39,79
CAPINOTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,17,5,17,5,22
CAQUIAVIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,1,3,1,4
CARACOLLO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,21,0,21,21
CARANAVI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,45,20,45,20,65
CARAPARI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,22,1,22,1,23
CARIPUYO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,10,1,10,11
CARMEN RIVERO TORREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,0,6,0,6
CHALLAPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,9,19,9,19,28
CHAQUI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,0,3,0,3
CHARAGUA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,11,27,11,27,38
CHAYANTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,6,3,6,9
CHIMORE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,26,7,26,7,33
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,1,4,1,4,5
CHUMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,7,4,7,11
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,0,12,0,12,12
CKOCHAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,10,2,10,12
CLIZA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,22,17,22,17,39
COBIJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,69,6,69,6,75
COCAPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,19,7,19,7,26
COCHABAMBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,424,74,424,74,498
COLCAPIRHUA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,54,163,54,163,217
"COLCHA ""K""",otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,19,3,19,3,22
COLOMI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,26,1,26,1,27
COLPA BELGICA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,11,0,11,0,11
COLQUECHACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,14,12,14,12,26
COLQUENCHA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,0,8,0,8
COLQUIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,33,6,33,39
COMARAPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,13,2,13,2,15
COMBAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,24,2,24,26
CONCEPCION,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,32,0,32,0,32
COPACABANA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,3,2,3,2,5
CORIPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,6,0,6,0,6
CORO CORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,2,4,2,6
COROICO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,5,0,5,0,5
COTAGAITA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,9,9,9,9,18
COTOCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,63,7,63,7,70
CUATRO CAÑADAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,12,13,12,13,25
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,2,3,2,3,5
CUEVO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,4,0,4,0,4
CULPINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-01-01,8,5,8,5,13
