,group,variable,month,L 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,L 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ARBIETO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,4,0,4,0,4
CLIZA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,4,0,4,0,4
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,11,0,11,0,11
EL TORNO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,4,0,4,0,4
FILADELFIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,32,0,32,0,32
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,6,9,6,9,15
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,1,0,1,0,1
SANTA ANA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,50,0,50,0,50
SANTIAGO DE HUARI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,2,1,2,1,3
SUCRE,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,154,120,154,120,274
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,16,0,16,0,16
TRINIDAD,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,2,0,2,0,2
VIACHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,5,0,5,0,5
YAMPARAEZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-01-01,2,3,2,3,5
ARBIETO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,2,0,2,0,2
BERMEJO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,1,0,1,0,1
CLIZA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,6,0,6,0,6
COCHABAMBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,97,0,97,0,97
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,12,0,12,0,12
EL TORNO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,4,0,4,0,4
FILADELFIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,9,0,9,0,9
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,29,0,29,0,29
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,8,0,8,0,8
PAILON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,6,0,6,0,6
PORTACHUELO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,1,0,1,0,1
SAN BENITO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,3,0,3,0,3
SANTA ANA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,2,6,2,6,8
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,9,2,9,2,11
TRINIDAD,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,4,0,4,0,4
VIACHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,5,0,5,0,5
YACUIBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-02-01,9,0,9,0,9
ATOCHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,10,0,10,0,10
BERMEJO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,1,1,1,2
COBIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,39,0,39,0,39
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,20,0,20,0,20
EL TORNO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,4,0,4,0,4
FILADELFIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,2,0,2,0,2
HUANUNI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,4,0,4,0,4
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,41,0,41,0,41
LURIBAY,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
MAGDALENA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,2,0,2,0,2
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,6,0,6,0,6
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
SAN BENITO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,3,0,3,0,3
SAN LORENZO(PND),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,8,0,8,0,8
TARIJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,6,0,6,0,6
TRINIDAD,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
VILLAZON,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,1,0,1,0,1
YACUIBA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-03-01,7,0,7,0,7
ATOCHA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,9,0,9,0,9
BERMEJO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,4,1,4,1,5
BUENA VISTA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,2,0,2,0,2
EL ALTO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,22,0,22,0,22
EL TORNO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,0,2,0,2,2
LA PAZ,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,32,0,32,0,32
ORURO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,7,0,7,0,7
POTOSI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,2,0,2,0,2
SAN BENITO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,11,1,11,12
SAN IGNACIO,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,5,0,5,0,5
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,4,0,4,0,4
SAN LORENZO(TJA),otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,l 21.7       trabajador de salud hepatitis b 2da dosis,2012-04-01,3,0,3,0,3
