,group,variable,month,L 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,L 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
ACHACACHI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,2,2,2,4
ACHOCALLA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,1,4,1,5
ALALAY,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,1,2,1,3
ALTO BENI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
ANDAMARCA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,3,1,3,4
APOLO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,0,4,0,4
ARAMPAMPA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
ARANI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,4,3,4,7
ARBIETO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,23,2,23,25
ARQUE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,0,4,0,4
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,19,2,19,2,21
ATOCHA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,6,9,6,9,15
AZURDUY,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,0,10,0,10
BATALLAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,2,5,2,7
BERMEJO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,0,10,0,10
BETANZOS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,0,4,0,4
BOLIVAR,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,1,1,1,2
BOLPEBRA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
BOYUIBE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,7,1,7,8
CABEZAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,6,7,6,13
"CAIZA ""D""",otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,5,3,5,8
CAJUATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,4,3,4,7
CALAMARCA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,1,7,1,8
CAMARGO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,2,3,2,5
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,3,1,3,4
CAMIRI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,12,24,12,24,36
CAPINOTA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,3,5,3,8
CARACOLLO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,4,1,4,5
CARANAVI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,42,13,42,13,55
CARAPARI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,12,0,12,0,12
CARMEN RIVERO TORREZ,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,2,1,2,3
CHALLAPATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,10,7,10,7,17
CHARAGUA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,17,7,17,24
CHARAÑA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
CHIMORE,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,12,5,12,5,17
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,4,1,4,5
CHUMA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
CKOCHAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,6,2,6,8
CLIZA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,14,15,14,15,29
COBIJA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,37,7,37,7,44
COCAPATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
COCHABAMBA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,252,31,252,31,283
COLCAPIRHUA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,14,47,14,47,61
"COLCHA ""K""",otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,0,2,0,2
COLOMI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,12,1,12,1,13
COLPA BELGICA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
COLQUECHACA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,3,2,3,5
COLQUIRI,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,3,0,3,3
COMARAPA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,17,2,17,2,19
COMBAYA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
CONCEPCION,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,0,4,0,4
COPACABANA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,1,1,1,2
CORIPATA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,1,2,1,3
CORO CORO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,2,0,2,2
COROICO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,0,7,0,7
COTAGAITA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,3,23,3,23,26
COTOCA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,20,0,20,0,20
CUATRO CAÑADAS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,5,1,5,6
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,4,1,4,1,5
CULPINA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,2,2,2,2,4
CURVA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,3,0,3,3
EL ALTO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,526,6,526,6,532
EL CHORO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,1,0,1,0,1
EL PUENTE(STC),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,5,0,5,0,5
EL PUENTE(TJA),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,7,3,7,3,10
EL TORNO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,36,5,36,5,41
ENTRE RIOS TRJ,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,11,0,11,0,11
ENTRE RIOS CBBA,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,12,1,12,1,13
EUCALIPTUS,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,0,1,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,l 21.3       mujeres de 10 a 49 anos 3ra dosis de dt,2012-01-01,13,2,13,2,15
