,group,variable,month,L 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,L 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,7,0,7,0,7
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,12,0,12,0,12
BATALLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,31,0,31,0,31
BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,12,0,12,0,12
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,7,0,7,0,7
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,18,0,18,0,18
CHALLAPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,3,0,3,0,3
CLIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,0,1,0,1,1
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,347,0,347,0,347
COLCAPIRHUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,11,0,11,0,11
COLOMI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
COLPA BELGICA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,20,0,20,0,20
COMANCHE,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,0,5,0,5,5
COMARAPA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,15,0,15,0,15
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
COROICO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,35,14,35,14,49
CUATRO CAÑADAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,17,0,17,0,17
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,821,0,821,0,821
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,142,158,142,158,300
FERNANDEZ ALONSO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,5,0,5,0,5
GENERAL SAAVEDRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,7,0,7,0,7
HUAYLLAMARCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,163,0,163,0,163
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,144,109,144,109,253
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,9,0,9,0,9
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,135,0,135,0,135
MORO MORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
OCURI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,10,0,10,0,10
OKINAWA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,10,0,10,0,10
ORURO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,25,0,25,0,25
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,124,0,124,0,124
PORTACHUELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,20,0,20,0,20
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,98,0,98,0,98
PUCARANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,4,0,4,0,4
PUNATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,13,0,13,0,13
SACABA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,8,0,8,0,8
SAIPINA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,11,0,11,0,11
SAMAIPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
SAN BENITO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,23,0,23,0,23
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1849,0,1849,0,1849
SANTIAGO DE HUATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,8,0,8,0,8
SORACACHI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,0,1,0,1,1
SUCRE,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,336,0,336,0,336
TARIJA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,202,0,202,0,202
TIQUIPAYA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,3,0,3,0,3
TRIGAL,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,7,0,7,0,7
TRINIDAD,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,1,0,1,0,1
TUPIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,11,23,11,23,34
UYUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,87,13,87,13,100
VACAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,0,4,0,4,4
VALLEGRANDE,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,23,0,23,0,23
VIACHA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,20,20,20,20,40
VILLA MONTES,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,14,0,14,0,14
VILLA TUNARI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,3,0,3,0,3
WARNES,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,578,0,578,0,578
YACUIBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,39,0,39,0,39
YAPACANI,otras vacunaciones,l 21.9       antirrabica en humano,2012-01-01,0,7,0,7,7
AIQUILE,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
ANZALDO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,0,1,0,1,1
ARBIETO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,5,0,5,0,5
BATALLAS,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,0,2,0,2
BERMEJO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,18,0,18,0,18
BUENA VISTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,3,0,3,0,3
CAMIRI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,8,0,8,0,8
CAPINOTA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,5,0,5,0,5
CARANAVI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,18,0,18,0,18
CARAPARI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,0,1,0,1,1
CHALLAPATA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,3,0,3,0,3
CHARAÑA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,0,1,0,1,1
CLIZA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,359,0,359,0,359
COLCAPIRHUA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,7,0,7,0,7
COLOMI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
COMARAPA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,10,0,10,0,10
COPACABANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
COTOCA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,8,0,8,0,8
EL ALTO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,723,0,723,0,723
EL PUENTE(STC),otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,16,0,16,0,16
EL TORNO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,176,34,176,34,210
ENTRE RIOS TRJ,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,1,0,1,0,1
HUANUNI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,219,0,219,0,219
LA PAZ,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,63,73,63,73,136
MAIRANA,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,7,0,7,0,7
MIZQUE,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,0,7,0,7,7
MONTERO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,187,0,187,0,187
MORO MORO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,9,0,9,0,9
OCURI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,0,17,0,17,17
ORURO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,21,0,21,0,21
PORONGO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,104,0,104,0,104
PORTACHUELO,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,10,0,10,0,10
POTOSI,otras vacunaciones,l 21.9       antirrabica en humano,2012-02-01,99,0,99,0,99
