,group,variable,month,L 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,L 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
ACHACACHI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,3,0,3,3
ACHOCALLA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
ALALAY,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
ANZALDO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,2,0,2,2
APOLO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
ARAMPAMPA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,2,2,2,4
ARANI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,1,2,1,3
ARBIETO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,5,14,5,14,19
ARQUE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,6,1,6,1,7
ATOCHA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,3,2,3,5
AZURDUY,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
BAURES,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
BETANZOS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
BOLIVAR,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
BOYUIBE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,0,3,0,3
CABEZAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,4,1,4,5
CAJUATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,1,4,1,5
CAMARGO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
CAMIRI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,12,4,12,4,16
CAPINOTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,3,3,3,6
CARACOLLO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
CARANAVI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,11,6,11,6,17
CARAPARI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
CARMEN RIVERO TORREZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,4,0,4,4
CHALLAPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,2,1,2,3
CHARAGUA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,12,4,12,16
CHARAÑA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
CHIMORE,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,5,4,5,4,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,2,0,2,2
CHUMA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,0,3,0,3
CLIZA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,11,4,11,4,15
COBIJA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,13,2,13,2,15
COCAPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,145,5,145,5,150
COLCAPIRHUA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,8,27,8,27,35
"COLCHA ""K""",otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
COLOMI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
COLPA BELGICA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,3,0,3,0,3
COLQUIRI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,2,0,2,2
COMARAPA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,13,2,13,2,15
CONCEPCION,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,5,0,5,0,5
COPACABANA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
CORIPATA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
COROICO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
COTAGAITA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,10,2,10,12
COTOCA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,13,1,13,1,14
CUATRO CAÑADAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,1,0,1,1
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,0,4,0,4
CUEVO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,3,0,3,3
CULPINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
CURAHUARA DE CARANGAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,224,12,224,12,236
EL PUENTE(STC),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,0,2,0,2,2
EL TORNO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,19,2,19,2,21
EL VILLAR,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,4,1,4,1,5
ESCOMA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,2,0,2,0,2
FERNANDEZ ALONSO,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,5,1,5,1,6
FILADELFIA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,1,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,3,1,3,4
GUAYARAMERIN,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,5,0,5,0,5
GUTIERREZ,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,6,1,6,7
HUACARETA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
HUARINA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
INQUISIVI,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,1,1,1,2
IXIAMAS,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.4       mujeres de 10 a 49 anos 4ta dosis de dt,2012-01-01,23,6,23,6,29
