,group,variable,month,L 21.8 TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,L 21.8 TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,2,0,2,0,2
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,4,0,4,0,4
EL TORNO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,2,0,2,0,2
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,39,0,39,0,39
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,6,1,6,1,7
SAN BENITO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,6,0,6,0,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,0,0,0,0,0
SUCRE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,49,0,49,0,49
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,2,0,2,0,2
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,6,0,6,0,6
YAMPARAEZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-01-01,3,0,3,0,3
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,3,0,3,0,3
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,11,1,11,1,12
HUANUNI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,1,0,1,0,1
IXIAMAS,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,3,0,3,0,3
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,11,0,11,0,11
LURIBAY,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,1,0,1,0,1
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,6,0,6,0,6
PAILON,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,1,0,1,0,1
SAN BENITO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,4,0,4,0,4
SUCRE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,2,0,2,0,2
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,0,14,0,14,14
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,3,0,3,0,3
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-02-01,5,0,5,0,5
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,3,2,3,2,5
BUENA VISTA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,6,7,6,7,13
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,21,0,21,0,21
EL TORNO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,2,0,2,0,2
HUANUNI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,71,0,71,0,71
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,13,0,13,0,13
PORTACHUELO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,2,0,2,0,2
SAN AGUSTIN,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,6,0,6,0,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,19,0,19,0,19
SENA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,4,0,4,0,4
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,5,0,5,0,5
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,6,0,6,0,6
VILLA MONTES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,3,0,3,0,3
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-03-01,18,0,18,0,18
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,2,0,2,0,2
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,33,0,33,0,33
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,4,0,4,0,4
PASORAPA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,8,0,8,0,8
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,1,0,1,0,1
SAN BENITO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,2,0,2,0,2
SOPACHUY,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,13,0,13,0,13
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,5,0,5,0,5
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-04-01,3,1,3,1,4
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,3,0,3,0,3
COBIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
EL ALTO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
FILADELFIA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
LA PAZ,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,48,0,48,0,48
LURIBAY,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
MONTERO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,0,2,0,2,2
OMEREQUE,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,6,0,6,0,6
ORURO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,5,0,5,0,5
PASORAPA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
POTOSI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,7,0,7,0,7
SANTIAGO DE HUARI,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,0,3,0,3,3
TARIJA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,2,0,2,0,2
TRINIDAD,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,2,0,2,0,2
YACUIBA,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-05-01,5,2,5,2,7
ARBIETO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
BERMEJO,otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,0,1,0,1,1
"CAIZA ""D""",otras vacunaciones,l 21.8       trabajador de salud hepatitis b 3ra dosis,2012-06-01,1,0,1,0,1
