municipality,group,variable,month,Número de implantes insertados,Número de implantes insertados1,Número de implantes insertados2,Número de implantes insertados3,Número de implantes insertados4,TOTAL
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,0,1,0,1
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,10,0,1,11
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,5,19,4,0,28
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,4,1,0,5
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,4,3,0,7
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,1,2,3,4,0,10
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,6,0,0,6
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,1,2,2,0,5
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,1,13,2,0,16
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,1,0,0,1
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,1,1,0,0,2
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,1,4,2,0,7
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,1,6,1,0,8
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,3,1,0,0,4
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,1,3,0,0,4
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,2,0,0,2
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,1,7,1,0,9
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,3,7,12,1,0,23
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,1,31,145,30,0,207
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,1,1,0,2
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,1,0,0,1
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,4,1,0,5
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,4,0,0,4
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,8,1,0,9
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,20,131,45,0,196
EL CHORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2016-01-01,0,9,51,5,0,65
