municipality,group,variable,month,Número de mujeres con píldora anticonceptiva oral de emergencia,Número de mujeres con píldora anticonceptiva oral de emergencia1,Número de mujeres con píldora anticonceptiva oral de emergencia2,Número de mujeres con píldora anticonceptiva oral de emergencia3,Número de mujeres con píldora anticonceptiva oral de emergencia4,TOTAL
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,3,0,0,3
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,2,1,0,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,10,4,0,15
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,3,0,0,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,3,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,1,7,9,6,0,23
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,0,0,0,1
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,1,0,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,12,13,0,26
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,2,3,0,0,5
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,2,0,2
ESCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,3,0,0,3
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,1,0,2
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,0,0,0,1
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,2,4,0,0,6
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,6,2,0,9
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,5,0,0,5
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,10,0,0,11
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,0,0,0,1
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,1,0,1
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,1,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,16,5,3,25
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,2,0,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,1,0,1
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,10,5,0,15
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,1,0,0,2
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,1,0,1
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,3,2,0,5
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,1,1,0,3
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,4,36,1,0,41
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,7,4,0,11
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,2,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
SAN PEDRO(PND),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,5,39,1,0,45
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,2,0,0,2
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,1,0,0,1
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,2,1,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,4,12,7,0,23
TACOBAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,1,0,1
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,1,0,1
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,2,0,0,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,14,7,0,21
TEOPONTE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,16,0,0,16
TOMAVE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,3,1,0,5
TOTORA(ORR),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,1,1,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,18,88,38,0,144
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,11,5,1,18
UMALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,2,2,2,0,6
VACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,4,1,0,5
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,4,62,27,2,95
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,1,0,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,0,1,0,1
YACO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,1,0,0,0,1
YUNCHARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-01-01,0,0,3,2,0,5
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,5,0,0,5
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,1,0,2,0,0,3
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,2,0,0,0,2
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,11,8,0,19
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,1,0,1,0,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,2,0,0,2
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,1,0,0,1
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,3,0,0,3
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,3,1,0,4
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,2,7,6,24,0,39
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,168,16,0,184
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con pildora anticonceptiva oral de emergencia,2016-02-01,0,0,1,0,0,1
