municipality,group,variable,month,AQV masculino,AQV masculino1,AQV masculino2,AQV masculino3,AQV masculino4,TOTAL
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-01-01,0,0,3,6,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-01-01,0,1,2,5,0,8
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-01-01,0,0,7,3,0,10
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-01-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-01-01,0,0,4,0,0,4
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-01-01,0,0,9,3,0,12
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-01-01,0,0,6,5,0,11
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-02-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-02-01,0,0,4,0,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-02-01,0,0,7,1,0,8
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-02-01,0,0,1,0,0,1
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-02-01,0,0,4,2,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-02-01,0,0,0,1,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-03-01,0,0,0,1,1,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-03-01,0,0,0,3,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-03-01,0,0,7,0,0,7
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-03-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-03-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-03-01,0,0,0,3,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-03-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-04-01,0,0,10,2,0,12
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-04-01,0,0,2,17,0,19
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-04-01,0,0,2,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-04-01,0,5,0,0,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-04-01,0,0,4,8,0,12
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-04-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-05-01,0,0,2,5,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-05-01,0,0,3,2,0,5
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-05-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-05-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-05-01,0,0,0,3,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-05-01,0,0,4,1,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-06-01,0,0,6,4,0,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-06-01,0,0,1,7,0,8
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-06-01,0,0,5,0,0,5
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-06-01,0,1,3,0,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-07-01,0,0,6,3,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-07-01,0,0,1,10,0,11
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-07-01,0,0,0,4,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-07-01,0,0,1,1,0,2
VITICHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-07-01,0,0,3,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-08-01,0,0,3,2,0,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-08-01,0,0,1,5,0,6
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-08-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-08-01,0,0,4,0,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-08-01,0,0,2,3,0,5
TINGUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-08-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-09-01,0,0,4,3,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-09-01,0,0,13,5,0,18
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-09-01,0,0,1,0,0,1
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-09-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-09-01,0,0,2,0,0,2
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,2,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2016-10-01,0,0,1,1,0,2
