municipality,group,variable,month,Número de personas que recibieron orientación en Anticoncepción,Número de personas que recibieron orientación en Anticoncepción1,Número de personas que recibieron orientación en Anticoncepción2,Número de personas que recibieron orientación en Anticoncepción3,Número de personas que recibieron orientación en Anticoncepción4,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,4,8,8,1,21
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,3,51,31,4,89
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,1,63,23,1,88
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,12,42,13,0,67
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,0,6,1,0,7
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,6,16,6,2,30
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,2,9,7,2,20
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,2,16,4,0,22
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,2,5,3,0,10
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,0,0,5,2,0,7
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,1,3,4,3,0,11
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de personas que recibieron orientacion en anticoncepcion,2016-01-01,1,12,54,6,3,76
