municipality,group,variable,month,Inyectable Trimestral: Usuarias Continuas,Inyectable Trimestral: Usuarias Continuas1,Inyectable Trimestral: Usuarias Continuas2,Inyectable Trimestral: Usuarias Continuas3,Inyectable Trimestral: Usuarias Continuas4,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,0,9,8,0,17
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,1,33,19,0,53
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,2,32,19,1,54
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,0,14,24,0,38
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,0,4,1,0,5
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,5,17,16,1,39
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,1,3,26,21,0,51
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,2,9,15,0,26
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,1,3,1,0,5
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,0,2,4,0,6
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,0,10,7,1,18
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",inyectable trimestral: usuarias continuas,2016-01-01,0,5,47,22,1,75
