municipality,group,variable,month,Número de condones entregados,Número de condones entregados1,Número de condones entregados2,Número de condones entregados3,Número de condones entregados4,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,96,48,0,156
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,72,36,0,120
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,72,12,0,84
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,24,0,0,36
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,48,0,12,60
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,84,24,0,108
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,0,12,0,12
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,48,12,0,72
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,96,36,0,132
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,0,0,12
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,96,12,0,120
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,12,0,24
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,132,24,0,168
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,36,0,72
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,12,0,0,24
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,228,36,0,264
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,12,0,48
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,0,12,36
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,48,0,0,48
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,144,36,0,192
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,24,24,0,48
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,36,0,0,36
BELEN DE URMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,0,12,12,0,24
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,12,24,12,0,48
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2016-01-01,0,24,572,288,36,920
