,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES PRIMERA,MENORES DE 6 MESES PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2024-01-01,7,6,0,0,0,0,13,0,13
ACHACACHI,consulta externa,menores de 6 meses,2024-01-01,61,50,13,10,0,0,111,23,134
ACHOCALLA,consulta externa,menores de 6 meses,2024-01-01,39,28,3,1,0,0,67,4,71
AIQUILE,consulta externa,menores de 6 meses,2024-01-01,38,33,58,24,31,23,71,82,153
ALALAY,consulta externa,menores de 6 meses,2024-01-01,4,3,1,1,5,4,7,2,9
ALCALA,consulta externa,menores de 6 meses,2024-01-01,13,11,0,0,8,8,24,0,24
ALTO BENI,consulta externa,menores de 6 meses,2024-01-01,39,34,0,0,0,0,73,0,73
ANCORAIMES,consulta externa,menores de 6 meses,2024-01-01,7,9,5,8,1,3,16,13,29
ANDAMARCA,consulta externa,menores de 6 meses,2024-01-01,3,2,0,1,0,0,5,1,6
ANTEQUERA,consulta externa,menores de 6 meses,2024-01-01,0,4,1,1,0,4,4,2,6
ANZALDO,consulta externa,menores de 6 meses,2024-01-01,14,19,0,4,0,0,33,4,37
APOLO,consulta externa,menores de 6 meses,2024-01-01,49,45,30,42,44,46,94,72,166
ARAMPAMPA,consulta externa,menores de 6 meses,2024-01-01,0,1,0,1,1,1,1,1,2
ARANI,consulta externa,menores de 6 meses,2024-01-01,15,10,3,4,0,0,25,7,32
ARBIETO,consulta externa,menores de 6 meses,2024-01-01,77,53,9,19,0,0,130,28,158
ARQUE,consulta externa,menores de 6 meses,2024-01-01,24,23,0,0,0,0,47,0,47
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2024-01-01,38,43,3,6,3,0,81,9,90
ATOCHA,consulta externa,menores de 6 meses,2024-01-01,17,31,5,0,1,3,48,5,53
AUCAPATA,consulta externa,menores de 6 meses,2024-01-01,2,2,0,0,18,17,4,0,4
AYATA,consulta externa,menores de 6 meses,2024-01-01,10,12,1,0,10,12,22,1,23
AYO AYO,consulta externa,menores de 6 meses,2024-01-01,14,10,1,6,0,0,24,7,31
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2024-01-01,29,21,6,12,33,18,50,18,68
AZURDUY,consulta externa,menores de 6 meses,2024-01-01,4,3,2,1,21,26,7,3,10
BATALLAS,consulta externa,menores de 6 meses,2024-01-01,20,9,7,10,0,0,29,17,46
BAURES,consulta externa,menores de 6 meses,2024-01-01,11,2,0,0,0,0,13,0,13
BELEN DE ANDAMARCA,consulta externa,menores de 6 meses,2024-01-01,1,1,1,0,0,0,2,1,3
BELEN DE URMIRI,consulta externa,menores de 6 meses,2024-01-01,2,5,0,0,0,2,7,0,7
BELLA FLOR,consulta externa,menores de 6 meses,2024-01-01,3,8,3,1,0,0,11,4,15
BERMEJO,consulta externa,menores de 6 meses,2024-01-01,157,138,23,11,1,1,295,34,329
BETANZOS,consulta externa,menores de 6 meses,2024-01-01,38,31,0,1,0,0,69,1,70
BOLIVAR,consulta externa,menores de 6 meses,2024-01-01,10,11,1,0,0,0,21,1,22
BOLPEBRA,consulta externa,menores de 6 meses,2024-01-01,3,2,0,0,0,0,5,0,5
BOYUIBE,consulta externa,menores de 6 meses,2024-01-01,6,2,1,0,0,0,8,1,9
BUENA VISTA,consulta externa,menores de 6 meses,2024-01-01,22,20,1,0,0,0,42,1,43
CABEZAS,consulta externa,menores de 6 meses,2024-01-01,58,48,1,1,9,2,106,2,108
CAIROMA,consulta externa,menores de 6 meses,2024-01-01,22,12,3,1,0,0,34,4,38
"CAIZA ""D""",consulta externa,menores de 6 meses,2024-01-01,20,20,0,0,0,0,40,0,40
CAJUATA,consulta externa,menores de 6 meses,2024-01-01,15,23,4,0,13,23,38,4,42
CALACOTO,consulta externa,menores de 6 meses,2024-01-01,2,4,2,0,0,0,6,2,8
CALAMARCA,consulta externa,menores de 6 meses,2024-01-01,22,9,0,0,0,0,31,0,31
CAMARGO,consulta externa,menores de 6 meses,2024-01-01,2,3,8,8,49,38,5,16,21
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 6 meses,2024-01-01,6,8,0,0,6,8,14,0,14
CAMIRI,consulta externa,menores de 6 meses,2024-01-01,16,23,5,3,0,0,39,8,47
CAPINOTA,consulta externa,menores de 6 meses,2024-01-01,41,56,15,27,1,0,97,42,139
CAQUIAVIRI,consulta externa,menores de 6 meses,2024-01-01,17,23,5,2,0,0,40,7,47
CARACOLLO,consulta externa,menores de 6 meses,2024-01-01,39,55,14,5,39,56,94,19,113
CARANAVI,consulta externa,menores de 6 meses,2024-01-01,205,147,9,7,1,0,352,16,368
CARAPARI,consulta externa,menores de 6 meses,2024-01-01,44,47,3,10,0,5,91,13,104
CARIPUYO,consulta externa,menores de 6 meses,2024-01-01,11,2,0,0,0,0,13,0,13
CARMEN RIVERO TORREZ,consulta externa,menores de 6 meses,2024-01-01,3,8,1,0,3,10,11,1,12
CATACORA,consulta externa,menores de 6 meses,2024-01-01,4,6,2,2,0,0,10,4,14
CHACARILLA,consulta externa,menores de 6 meses,2024-01-01,2,1,0,0,0,0,3,0,3
CHALLAPATA,consulta externa,menores de 6 meses,2024-01-01,73,70,6,11,30,23,143,17,160
CHAQUI,consulta externa,menores de 6 meses,2024-01-01,4,8,1,0,0,0,12,1,13
CHARAGUA,consulta externa,menores de 6 meses,2024-01-01,55,65,21,14,0,0,120,35,155
CHARAÑA,consulta externa,menores de 6 meses,2024-01-01,6,7,2,1,0,0,13,3,16
CHAYANTA,consulta externa,menores de 6 meses,2024-01-01,20,23,0,0,5,10,43,0,43
CHIMORE,consulta externa,menores de 6 meses,2024-01-01,34,32,10,24,90,71,66,34,100
CHIPAYA,consulta externa,menores de 6 meses,2024-01-01,3,3,0,0,3,3,6,0,6
CHUA COCANI,consulta externa,menores de 6 meses,2024-01-01,3,4,7,3,0,0,7,10,17
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 6 meses,2024-01-01,43,36,5,1,7,5,79,6,85
CHUMA,consulta externa,menores de 6 meses,2024-01-01,9,15,0,1,10,16,24,1,25
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,menores de 6 meses,2024-01-01,20,13,0,1,0,0,33,1,34
CKOCHAS,consulta externa,menores de 6 meses,2024-01-01,8,20,0,0,9,20,28,0,28
CLIZA,consulta externa,menores de 6 meses,2024-01-01,93,77,25,22,0,0,170,47,217
COBIJA,consulta externa,menores de 6 meses,2024-01-01,103,110,46,35,23,22,213,81,294
COCAPATA,consulta externa,menores de 6 meses,2024-01-01,58,55,1,1,21,19,113,2,115
COCHABAMBA,consulta externa,menores de 6 meses,2024-01-01,1978,2042,882,871,122,192,4020,1753,5773
COLCAPIRHUA,consulta externa,menores de 6 meses,2024-01-01,113,98,56,53,0,0,211,109,320
"COLCHA ""K""",consulta externa,menores de 6 meses,2024-01-01,14,22,2,15,14,22,36,17,53
COLLANA,consulta externa,menores de 6 meses,2024-01-01,9,6,1,1,0,0,15,2,17
COLOMI,consulta externa,menores de 6 meses,2024-01-01,46,49,16,13,55,62,95,29,124
COLPA BELGICA,consulta externa,menores de 6 meses,2024-01-01,11,10,0,1,11,10,21,1,22
COLQUECHACA,consulta externa,menores de 6 meses,2024-01-01,25,16,0,0,24,16,41,0,41
COLQUENCHA,consulta externa,menores de 6 meses,2024-01-01,25,17,5,7,0,0,42,12,54
COLQUIRI,consulta externa,menores de 6 meses,2024-01-01,21,21,11,7,13,12,42,18,60
