,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS PRIMERA,PERSONAS DE 50 A 59 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2024-01-01,32,42,1,0,0,0,74,1,75
ACHACACHI,consulta externa,personas de 50 a 59 anos,2024-01-01,171,315,41,49,0,0,486,90,576
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2024-01-01,62,138,13,19,0,0,200,32,232
AIQUILE,consulta externa,personas de 50 a 59 anos,2024-01-01,138,201,58,98,84,140,339,156,495
ALALAY,consulta externa,personas de 50 a 59 anos,2024-01-01,25,16,0,1,22,15,41,1,42
ALCALA,consulta externa,personas de 50 a 59 anos,2024-01-01,33,62,12,18,30,56,95,30,125
ALTO BENI,consulta externa,personas de 50 a 59 anos,2024-01-01,109,117,11,21,0,0,226,32,258
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2024-01-01,45,54,19,26,7,8,99,45,144
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2024-01-01,26,23,2,4,0,0,49,6,55
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2024-01-01,14,14,0,1,14,14,28,1,29
ANZALDO,consulta externa,personas de 50 a 59 anos,2024-01-01,54,73,8,10,0,0,127,18,145
APOLO,consulta externa,personas de 50 a 59 anos,2024-01-01,59,86,4,26,65,88,145,30,175
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2024-01-01,8,18,0,0,8,18,26,0,26
ARANI,consulta externa,personas de 50 a 59 anos,2024-01-01,28,42,29,21,0,0,70,50,120
ARBIETO,consulta externa,personas de 50 a 59 anos,2024-01-01,39,108,6,16,0,0,147,22,169
ARQUE,consulta externa,personas de 50 a 59 anos,2024-01-01,56,66,1,0,0,0,122,1,123
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2024-01-01,89,131,3,19,6,8,220,22,242
ATOCHA,consulta externa,personas de 50 a 59 anos,2024-01-01,213,194,56,58,39,25,407,114,521
AUCAPATA,consulta externa,personas de 50 a 59 anos,2024-01-01,1,0,3,0,48,28,1,3,4
AYATA,consulta externa,personas de 50 a 59 anos,2024-01-01,54,90,7,11,54,90,144,18,162
AYO AYO,consulta externa,personas de 50 a 59 anos,2024-01-01,45,65,1,1,0,0,110,2,112
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 50 a 59 anos,2024-01-01,117,157,19,12,68,98,274,31,305
AZURDUY,consulta externa,personas de 50 a 59 anos,2024-01-01,3,3,11,19,59,92,6,30,36
BATALLAS,consulta externa,personas de 50 a 59 anos,2024-01-01,36,60,14,27,0,0,96,41,137
BAURES,consulta externa,personas de 50 a 59 anos,2024-01-01,114,81,7,9,0,0,195,16,211
BELEN DE ANDAMARCA,consulta externa,personas de 50 a 59 anos,2024-01-01,17,22,0,2,0,0,39,2,41
BELEN DE URMIRI,consulta externa,personas de 50 a 59 anos,2024-01-01,12,17,0,0,10,10,29,0,29
BELLA FLOR,consulta externa,personas de 50 a 59 anos,2024-01-01,20,20,5,9,1,3,40,14,54
BERMEJO,consulta externa,personas de 50 a 59 anos,2024-01-01,397,527,119,173,70,51,924,292,1216
BETANZOS,consulta externa,personas de 50 a 59 anos,2024-01-01,198,304,14,32,0,0,502,46,548
BOLIVAR,consulta externa,personas de 50 a 59 anos,2024-01-01,27,38,1,1,0,0,65,2,67
BOLPEBRA,consulta externa,personas de 50 a 59 anos,2024-01-01,27,21,8,5,0,0,48,13,61
BOYUIBE,consulta externa,personas de 50 a 59 anos,2024-01-01,51,53,19,39,0,0,104,58,162
BUENA VISTA,consulta externa,personas de 50 a 59 anos,2024-01-01,57,128,3,6,0,0,185,9,194
CABEZAS,consulta externa,personas de 50 a 59 anos,2024-01-01,171,273,19,34,11,6,444,53,497
CAIROMA,consulta externa,personas de 50 a 59 anos,2024-01-01,62,71,6,5,0,0,133,11,144
"CAIZA ""D""",consulta externa,personas de 50 a 59 anos,2024-01-01,79,107,3,1,0,0,186,4,190
CAJUATA,consulta externa,personas de 50 a 59 anos,2024-01-01,70,69,21,22,40,53,139,43,182
CALACOTO,consulta externa,personas de 50 a 59 anos,2024-01-01,30,38,3,8,0,0,68,11,79
CALAMARCA,consulta externa,personas de 50 a 59 anos,2024-01-01,37,74,4,9,0,0,111,13,124
CAMARGO,consulta externa,personas de 50 a 59 anos,2024-01-01,10,15,32,73,173,259,25,105,130
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 50 a 59 anos,2024-01-01,31,53,3,6,31,52,84,9,93
CAMIRI,consulta externa,personas de 50 a 59 anos,2024-01-01,110,135,55,92,0,0,245,147,392
CAPINOTA,consulta externa,personas de 50 a 59 anos,2024-01-01,115,169,34,30,1,0,284,64,348
CAQUIAVIRI,consulta externa,personas de 50 a 59 anos,2024-01-01,28,61,1,5,0,0,89,6,95
CARACOLLO,consulta externa,personas de 50 a 59 anos,2024-01-01,90,110,9,33,78,95,200,42,242
CARANAVI,consulta externa,personas de 50 a 59 anos,2024-01-01,362,429,21,45,1,3,791,66,857
CARANGAS,consulta externa,personas de 50 a 59 anos,2024-01-01,0,0,0,0,2,14,0,0,0
CARAPARI,consulta externa,personas de 50 a 59 anos,2024-01-01,145,248,36,58,13,4,393,94,487
CARIPUYO,consulta externa,personas de 50 a 59 anos,2024-01-01,41,59,0,0,0,0,100,0,100
CARMEN RIVERO TORREZ,consulta externa,personas de 50 a 59 anos,2024-01-01,36,60,1,1,39,67,96,2,98
CATACORA,consulta externa,personas de 50 a 59 anos,2024-01-01,9,15,1,2,0,0,24,3,27
CHACARILLA,consulta externa,personas de 50 a 59 anos,2024-01-01,11,14,1,2,0,0,25,3,28
CHALLAPATA,consulta externa,personas de 50 a 59 anos,2024-01-01,88,132,20,39,37,62,220,59,279
CHAQUI,consulta externa,personas de 50 a 59 anos,2024-01-01,37,62,2,3,0,0,99,5,104
CHARAGUA,consulta externa,personas de 50 a 59 anos,2024-01-01,175,266,16,51,0,0,441,67,508
CHARAÑA,consulta externa,personas de 50 a 59 anos,2024-01-01,23,37,1,1,5,2,60,2,62
CHAYANTA,consulta externa,personas de 50 a 59 anos,2024-01-01,80,104,7,11,32,41,184,18,202
CHIMORE,consulta externa,personas de 50 a 59 anos,2024-01-01,110,135,17,38,125,221,245,55,300
CHIPAYA,consulta externa,personas de 50 a 59 anos,2024-01-01,3,13,0,1,3,13,16,1,17
CHOQUE COTA,consulta externa,personas de 50 a 59 anos,2024-01-01,11,10,0,0,0,0,21,0,21
CHUA COCANI,consulta externa,personas de 50 a 59 anos,2024-01-01,15,21,12,19,0,0,36,31,67
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 50 a 59 anos,2024-01-01,102,141,19,47,5,7,243,66,309
CHUMA,consulta externa,personas de 50 a 59 anos,2024-01-01,100,156,10,8,94,125,256,18,274
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 50 a 59 anos,2024-01-01,72,70,4,11,0,0,142,15,157
CKOCHAS,consulta externa,personas de 50 a 59 anos,2024-01-01,88,124,1,0,62,103,212,1,213
CLIZA,consulta externa,personas de 50 a 59 anos,2024-01-01,43,122,26,69,0,0,165,95,260
COBIJA,consulta externa,personas de 50 a 59 anos,2024-01-01,347,515,168,280,50,28,862,448,1310
COCAPATA,consulta externa,personas de 50 a 59 anos,2024-01-01,36,58,0,1,14,19,94,1,95
COCHABAMBA,consulta externa,personas de 50 a 59 anos,2024-01-01,6363,10702,4746,7910,1075,1005,17065,12656,29721
