,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS PRIMERA,PERSONAS DE 40 A 49 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2024-01-01,20,51,0,0,0,0,71,0,71
ACHACACHI,consulta externa,personas de 40 a 49 anos,2024-01-01,165,272,16,41,0,0,437,57,494
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2024-01-01,47,201,12,18,0,0,248,30,278
AIQUILE,consulta externa,personas de 40 a 49 anos,2024-01-01,102,209,43,68,50,119,311,111,422
ALALAY,consulta externa,personas de 40 a 49 anos,2024-01-01,15,20,0,2,15,19,35,2,37
ALCALA,consulta externa,personas de 40 a 49 anos,2024-01-01,38,92,6,20,36,68,130,26,156
ALTO BENI,consulta externa,personas de 40 a 49 anos,2024-01-01,143,172,10,18,0,0,315,28,343
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2024-01-01,28,40,10,17,1,6,68,27,95
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2024-01-01,22,28,0,3,0,0,50,3,53
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2024-01-01,11,30,1,1,11,30,41,2,43
ANZALDO,consulta externa,personas de 40 a 49 anos,2024-01-01,46,66,8,17,0,0,112,25,137
APOLO,consulta externa,personas de 40 a 49 anos,2024-01-01,71,132,9,35,66,134,203,44,247
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2024-01-01,17,32,0,0,18,32,49,0,49
ARANI,consulta externa,personas de 40 a 49 anos,2024-01-01,35,54,7,14,0,0,89,21,110
ARBIETO,consulta externa,personas de 40 a 49 anos,2024-01-01,49,119,7,14,0,0,168,21,189
ARQUE,consulta externa,personas de 40 a 49 anos,2024-01-01,44,93,0,0,0,0,137,0,137
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2024-01-01,78,146,3,13,4,4,224,16,240
ATOCHA,consulta externa,personas de 40 a 49 anos,2024-01-01,293,354,82,88,85,73,647,170,817
AUCAPATA,consulta externa,personas de 40 a 49 anos,2024-01-01,2,0,1,0,36,50,2,1,3
AYATA,consulta externa,personas de 40 a 49 anos,2024-01-01,48,63,5,1,48,63,111,6,117
AYO AYO,consulta externa,personas de 40 a 49 anos,2024-01-01,49,76,0,3,0,0,125,3,128
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 40 a 49 anos,2024-01-01,134,172,31,14,61,100,306,45,351
AZURDUY,consulta externa,personas de 40 a 49 anos,2024-01-01,8,15,7,15,59,162,23,22,45
BATALLAS,consulta externa,personas de 40 a 49 anos,2024-01-01,30,71,5,24,0,0,101,29,130
BAURES,consulta externa,personas de 40 a 49 anos,2024-01-01,79,101,4,7,0,0,180,11,191
BELEN DE ANDAMARCA,consulta externa,personas de 40 a 49 anos,2024-01-01,5,9,0,2,0,0,14,2,16
BELEN DE URMIRI,consulta externa,personas de 40 a 49 anos,2024-01-01,23,14,0,0,19,10,37,0,37
BELLA FLOR,consulta externa,personas de 40 a 49 anos,2024-01-01,32,36,9,12,13,2,68,21,89
BERMEJO,consulta externa,personas de 40 a 49 anos,2024-01-01,411,713,91,149,32,36,1124,240,1364
BETANZOS,consulta externa,personas de 40 a 49 anos,2024-01-01,187,341,6,9,0,0,528,15,543
BOLIVAR,consulta externa,personas de 40 a 49 anos,2024-01-01,15,37,0,2,0,0,52,2,54
BOLPEBRA,consulta externa,personas de 40 a 49 anos,2024-01-01,18,15,2,3,0,0,33,5,38
BOYUIBE,consulta externa,personas de 40 a 49 anos,2024-01-01,21,85,8,26,0,0,106,34,140
BUENA VISTA,consulta externa,personas de 40 a 49 anos,2024-01-01,70,147,4,3,0,0,217,7,224
CABEZAS,consulta externa,personas de 40 a 49 anos,2024-01-01,196,356,23,23,8,8,552,46,598
CAIROMA,consulta externa,personas de 40 a 49 anos,2024-01-01,48,75,6,4,0,0,123,10,133
"CAIZA ""D""",consulta externa,personas de 40 a 49 anos,2024-01-01,80,132,1,3,0,0,212,4,216
CAJUATA,consulta externa,personas de 40 a 49 anos,2024-01-01,48,89,18,26,35,78,137,44,181
CALACOTO,consulta externa,personas de 40 a 49 anos,2024-01-01,15,28,0,2,0,0,43,2,45
CALAMARCA,consulta externa,personas de 40 a 49 anos,2024-01-01,33,96,2,6,0,0,129,8,137
CAMARGO,consulta externa,personas de 40 a 49 anos,2024-01-01,20,15,24,62,158,260,35,86,121
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 40 a 49 anos,2024-01-01,44,85,5,13,44,85,129,18,147
CAMIRI,consulta externa,personas de 40 a 49 anos,2024-01-01,88,170,37,77,0,0,258,114,372
CAPINOTA,consulta externa,personas de 40 a 49 anos,2024-01-01,87,215,30,35,1,0,302,65,367
CAQUIAVIRI,consulta externa,personas de 40 a 49 anos,2024-01-01,20,33,0,0,0,0,53,0,53
CARACOLLO,consulta externa,personas de 40 a 49 anos,2024-01-01,79,167,13,21,62,146,246,34,280
CARANAVI,consulta externa,personas de 40 a 49 anos,2024-01-01,351,518,29,58,2,3,869,87,956
CARANGAS,consulta externa,personas de 40 a 49 anos,2024-01-01,0,0,0,0,18,8,0,0,0
CARAPARI,consulta externa,personas de 40 a 49 anos,2024-01-01,151,286,15,67,9,13,437,82,519
CARIPUYO,consulta externa,personas de 40 a 49 anos,2024-01-01,29,45,0,2,0,0,74,2,76
CARMEN RIVERO TORREZ,consulta externa,personas de 40 a 49 anos,2024-01-01,31,65,0,2,34,71,96,2,98
CATACORA,consulta externa,personas de 40 a 49 anos,2024-01-01,19,18,0,0,0,0,37,0,37
CHACARILLA,consulta externa,personas de 40 a 49 anos,2024-01-01,8,14,0,0,0,0,22,0,22
CHALLAPATA,consulta externa,personas de 40 a 49 anos,2024-01-01,88,237,15,51,37,98,325,66,391
CHAQUI,consulta externa,personas de 40 a 49 anos,2024-01-01,28,64,0,3,0,0,92,3,95
CHARAGUA,consulta externa,personas de 40 a 49 anos,2024-01-01,195,400,9,43,0,0,595,52,647
CHARAÑA,consulta externa,personas de 40 a 49 anos,2024-01-01,27,26,1,4,7,0,53,5,58
CHAYANTA,consulta externa,personas de 40 a 49 anos,2024-01-01,77,116,7,8,33,38,193,15,208
CHIMORE,consulta externa,personas de 40 a 49 anos,2024-01-01,124,158,12,34,182,190,282,46,328
CHIPAYA,consulta externa,personas de 40 a 49 anos,2024-01-01,5,8,0,1,5,8,13,1,14
CHOQUE COTA,consulta externa,personas de 40 a 49 anos,2024-01-01,6,8,0,0,0,0,14,0,14
CHUA COCANI,consulta externa,personas de 40 a 49 anos,2024-01-01,7,13,2,11,0,0,20,13,33
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 40 a 49 anos,2024-01-01,112,135,23,28,0,4,247,51,298
CHUMA,consulta externa,personas de 40 a 49 anos,2024-01-01,51,86,5,2,43,72,137,7,144
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 40 a 49 anos,2024-01-01,62,105,16,13,0,0,167,29,196
CKOCHAS,consulta externa,personas de 40 a 49 anos,2024-01-01,79,126,0,0,54,105,205,0,205
CLIZA,consulta externa,personas de 40 a 49 anos,2024-01-01,75,167,29,48,0,0,242,77,319
COBIJA,consulta externa,personas de 40 a 49 anos,2024-01-01,445,682,176,298,68,46,1127,474,1601
COCAPATA,consulta externa,personas de 40 a 49 anos,2024-01-01,55,113,0,0,9,27,168,0,168
COCHABAMBA,consulta externa,personas de 40 a 49 anos,2024-01-01,6881,12293,4004,8002,1208,1211,19174,12006,31180
