,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS PRIMERA,PERSONAS DE 10 A 14 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2024-01-01,14,17,0,0,0,0,31,0,31
ACHACACHI,consulta externa,personas de 10 a 14 anos,2024-01-01,67,93,5,11,0,0,160,16,176
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2024-01-01,55,82,3,5,1,0,137,8,145
AIQUILE,consulta externa,personas de 10 a 14 anos,2024-01-01,73,101,9,8,47,70,174,17,191
ALALAY,consulta externa,personas de 10 a 14 anos,2024-01-01,6,3,0,0,5,3,9,0,9
ALCALA,consulta externa,personas de 10 a 14 anos,2024-01-01,16,20,3,0,14,16,36,3,39
ALTO BENI,consulta externa,personas de 10 a 14 anos,2024-01-01,85,75,1,0,0,0,160,1,161
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2024-01-01,14,12,2,1,2,0,26,3,29
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2024-01-01,19,11,0,0,0,0,30,0,30
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2024-01-01,7,11,0,1,7,11,18,1,19
ANZALDO,consulta externa,personas de 10 a 14 anos,2024-01-01,26,40,0,1,0,0,66,1,67
APOLO,consulta externa,personas de 10 a 14 anos,2024-01-01,47,83,3,5,48,86,130,8,138
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2024-01-01,11,14,0,0,11,14,25,0,25
ARANI,consulta externa,personas de 10 a 14 anos,2024-01-01,13,13,11,5,0,0,26,16,42
ARBIETO,consulta externa,personas de 10 a 14 anos,2024-01-01,48,61,3,2,0,0,109,5,114
ARQUE,consulta externa,personas de 10 a 14 anos,2024-01-01,44,41,0,1,0,0,85,1,86
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2024-01-01,72,96,3,9,3,5,168,12,180
ATOCHA,consulta externa,personas de 10 a 14 anos,2024-01-01,75,73,9,8,19,25,148,17,165
AUCAPATA,consulta externa,personas de 10 a 14 anos,2024-01-01,1,1,1,0,20,15,2,1,3
AYATA,consulta externa,personas de 10 a 14 anos,2024-01-01,13,21,0,1,13,21,34,1,35
AYO AYO,consulta externa,personas de 10 a 14 anos,2024-01-01,31,27,0,5,0,0,58,5,63
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 10 a 14 anos,2024-01-01,68,58,8,4,31,30,126,12,138
AZURDUY,consulta externa,personas de 10 a 14 anos,2024-01-01,1,2,4,3,24,51,3,7,10
BATALLAS,consulta externa,personas de 10 a 14 anos,2024-01-01,12,24,6,8,0,0,36,14,50
BAURES,consulta externa,personas de 10 a 14 anos,2024-01-01,66,57,0,0,0,0,123,0,123
BELEN DE ANDAMARCA,consulta externa,personas de 10 a 14 anos,2024-01-01,0,6,0,0,0,0,6,0,6
BELEN DE URMIRI,consulta externa,personas de 10 a 14 anos,2024-01-01,2,6,0,0,2,2,8,0,8
BELLA FLOR,consulta externa,personas de 10 a 14 anos,2024-01-01,30,43,4,3,0,2,73,7,80
BERMEJO,consulta externa,personas de 10 a 14 anos,2024-01-01,230,251,26,13,8,15,481,39,520
BETANZOS,consulta externa,personas de 10 a 14 anos,2024-01-01,86,106,3,4,0,0,192,7,199
BOLIVAR,consulta externa,personas de 10 a 14 anos,2024-01-01,6,10,0,0,0,0,16,0,16
BOLPEBRA,consulta externa,personas de 10 a 14 anos,2024-01-01,21,22,0,0,0,0,43,0,43
BOYUIBE,consulta externa,personas de 10 a 14 anos,2024-01-01,33,30,0,2,0,0,63,2,65
BUENA VISTA,consulta externa,personas de 10 a 14 anos,2024-01-01,46,54,0,0,0,0,100,0,100
CABEZAS,consulta externa,personas de 10 a 14 anos,2024-01-01,172,193,7,7,4,4,365,14,379
CAIROMA,consulta externa,personas de 10 a 14 anos,2024-01-01,21,33,0,0,0,0,54,0,54
"CAIZA ""D""",consulta externa,personas de 10 a 14 anos,2024-01-01,69,62,0,0,0,0,131,0,131
CAJUATA,consulta externa,personas de 10 a 14 anos,2024-01-01,46,37,17,7,37,31,83,24,107
CALACOTO,consulta externa,personas de 10 a 14 anos,2024-01-01,6,8,0,0,0,0,14,0,14
CALAMARCA,consulta externa,personas de 10 a 14 anos,2024-01-01,36,46,1,0,0,0,82,1,83
CAMARGO,consulta externa,personas de 10 a 14 anos,2024-01-01,7,4,4,6,81,101,11,10,21
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 10 a 14 anos,2024-01-01,15,28,1,0,15,28,43,1,44
CAMIRI,consulta externa,personas de 10 a 14 anos,2024-01-01,73,91,15,15,0,0,164,30,194
CAPINOTA,consulta externa,personas de 10 a 14 anos,2024-01-01,93,72,15,15,1,0,165,30,195
CAQUIAVIRI,consulta externa,personas de 10 a 14 anos,2024-01-01,16,18,1,0,0,0,34,1,35
CARACOLLO,consulta externa,personas de 10 a 14 anos,2024-01-01,59,61,10,5,48,53,120,15,135
CARANAVI,consulta externa,personas de 10 a 14 anos,2024-01-01,271,260,14,12,2,4,531,26,557
CARANGAS,consulta externa,personas de 10 a 14 anos,2024-01-01,0,0,0,0,6,6,0,0,0
CARAPARI,consulta externa,personas de 10 a 14 anos,2024-01-01,146,138,2,3,0,2,284,5,289
CARIPUYO,consulta externa,personas de 10 a 14 anos,2024-01-01,12,26,0,0,0,0,38,0,38
CARMEN RIVERO TORREZ,consulta externa,personas de 10 a 14 anos,2024-01-01,25,32,0,0,35,37,57,0,57
CATACORA,consulta externa,personas de 10 a 14 anos,2024-01-01,1,2,0,0,0,0,3,0,3
CHACARILLA,consulta externa,personas de 10 a 14 anos,2024-01-01,8,7,0,1,0,0,15,1,16
CHALLAPATA,consulta externa,personas de 10 a 14 anos,2024-01-01,83,70,8,11,44,34,153,19,172
CHAQUI,consulta externa,personas de 10 a 14 anos,2024-01-01,14,23,0,1,0,0,37,1,38
CHARAGUA,consulta externa,personas de 10 a 14 anos,2024-01-01,157,169,7,19,0,0,326,26,352
CHARAÑA,consulta externa,personas de 10 a 14 anos,2024-01-01,4,19,0,0,1,3,23,0,23
CHAYANTA,consulta externa,personas de 10 a 14 anos,2024-01-01,43,52,1,0,12,23,95,1,96
CHIMORE,consulta externa,personas de 10 a 14 anos,2024-01-01,149,135,7,8,108,130,284,15,299
CHIPAYA,consulta externa,personas de 10 a 14 anos,2024-01-01,5,7,0,0,5,7,12,0,12
CHOQUE COTA,consulta externa,personas de 10 a 14 anos,2024-01-01,2,3,0,0,0,0,5,0,5
CHUA COCANI,consulta externa,personas de 10 a 14 anos,2024-01-01,7,2,2,3,0,0,9,5,14
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 10 a 14 anos,2024-01-01,87,64,7,4,1,1,151,11,162
CHUMA,consulta externa,personas de 10 a 14 anos,2024-01-01,36,38,1,0,31,38,74,1,75
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 10 a 14 anos,2024-01-01,20,36,3,6,0,0,56,9,65
CKOCHAS,consulta externa,personas de 10 a 14 anos,2024-01-01,50,47,0,0,43,40,97,0,97
CLIZA,consulta externa,personas de 10 a 14 anos,2024-01-01,46,60,8,9,0,0,106,17,123
COBIJA,consulta externa,personas de 10 a 14 anos,2024-01-01,312,307,165,63,22,25,619,228,847
COCAPATA,consulta externa,personas de 10 a 14 anos,2024-01-01,23,41,0,0,9,8,64,0,64
COCHABAMBA,consulta externa,personas de 10 a 14 anos,2024-01-01,4177,4109,1694,1563,602,583,8286,3257,11543
