,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2024-01-01,293,395,0,0,0,0,688,0,688
ACHACACHI,consulta externa,personas de 60 anos y mas,2024-01-01,783,870,168,169,0,0,1653,337,1990
ACHOCALLA,consulta externa,personas de 60 anos y mas,2024-01-01,345,456,71,88,4,0,801,159,960
AIQUILE,consulta externa,personas de 60 anos y mas,2024-01-01,346,435,629,672,234,233,781,1301,2082
ALALAY,consulta externa,personas de 60 anos y mas,2024-01-01,101,135,1,5,97,131,236,6,242
ALCALA,consulta externa,personas de 60 anos y mas,2024-01-01,101,132,34,58,87,120,233,92,325
ALTO BENI,consulta externa,personas de 60 anos y mas,2024-01-01,345,240,56,51,0,0,585,107,692
ANCORAIMES,consulta externa,personas de 60 anos y mas,2024-01-01,227,229,201,193,24,20,456,394,850
ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-01-01,167,219,32,29,0,0,386,61,447
ANTEQUERA,consulta externa,personas de 60 anos y mas,2024-01-01,43,51,0,0,43,51,94,0,94
ANZALDO,consulta externa,personas de 60 anos y mas,2024-01-01,196,312,19,21,0,0,508,40,548
APOLO,consulta externa,personas de 60 anos y mas,2024-01-01,244,191,88,62,263,219,435,150,585
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2024-01-01,106,125,0,0,106,125,231,0,231
ARANI,consulta externa,personas de 60 anos y mas,2024-01-01,208,316,114,196,0,0,524,310,834
ARBIETO,consulta externa,personas de 60 anos y mas,2024-01-01,392,513,116,146,0,0,905,262,1167
ARQUE,consulta externa,personas de 60 anos y mas,2024-01-01,243,354,0,5,0,0,597,5,602
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2024-01-01,211,168,18,22,7,8,379,40,419
ATOCHA,consulta externa,personas de 60 anos y mas,2024-01-01,234,198,100,119,17,15,432,219,651
AUCAPATA,consulta externa,personas de 60 anos y mas,2024-01-01,4,3,7,4,87,80,7,11,18
AYATA,consulta externa,personas de 60 anos y mas,2024-01-01,271,351,17,25,271,349,622,42,664
AYO AYO,consulta externa,personas de 60 anos y mas,2024-01-01,346,360,5,14,0,0,706,19,725
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2024-01-01,667,762,37,47,468,504,1429,84,1513
AZURDUY,consulta externa,personas de 60 anos y mas,2024-01-01,13,13,43,71,173,285,26,114,140
BATALLAS,consulta externa,personas de 60 anos y mas,2024-01-01,232,244,114,104,0,0,476,218,694
BAURES,consulta externa,personas de 60 anos y mas,2024-01-01,136,126,18,24,0,0,262,42,304
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-01-01,108,140,16,22,0,0,248,38,286
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2024-01-01,128,124,1,2,70,73,252,3,255
BELLA FLOR,consulta externa,personas de 60 anos y mas,2024-01-01,45,31,64,34,3,4,76,98,174
BERMEJO,consulta externa,personas de 60 anos y mas,2024-01-01,772,918,307,432,163,175,1690,739,2429
BETANZOS,consulta externa,personas de 60 anos y mas,2024-01-01,1211,1534,61,69,0,0,2745,130,2875
BOLIVAR,consulta externa,personas de 60 anos y mas,2024-01-01,197,204,47,42,0,0,401,89,490
BOLPEBRA,consulta externa,personas de 60 anos y mas,2024-01-01,42,28,10,12,0,0,70,22,92
BOYUIBE,consulta externa,personas de 60 anos y mas,2024-01-01,95,128,103,133,0,0,223,236,459
BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-01-01,309,301,40,28,0,0,610,68,678
CABEZAS,consulta externa,personas de 60 anos y mas,2024-01-01,435,501,59,77,11,19,936,136,1072
CAIROMA,consulta externa,personas de 60 anos y mas,2024-01-01,280,235,14,10,0,0,515,24,539
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2024-01-01,456,750,26,64,0,0,1206,90,1296
CAJUATA,consulta externa,personas de 60 anos y mas,2024-01-01,144,144,59,51,100,99,288,110,398
CALACOTO,consulta externa,personas de 60 anos y mas,2024-01-01,243,258,24,40,0,0,501,64,565
CALAMARCA,consulta externa,personas de 60 anos y mas,2024-01-01,324,367,19,21,0,0,691,40,731
CAMARGO,consulta externa,personas de 60 anos y mas,2024-01-01,31,49,130,239,380,636,80,369,449
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2024-01-01,170,213,30,46,168,210,383,76,459
CAMIRI,consulta externa,personas de 60 anos y mas,2024-01-01,246,348,350,408,0,0,594,758,1352
CAPINOTA,consulta externa,personas de 60 anos y mas,2024-01-01,528,658,105,126,1,0,1186,231,1417
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2024-01-01,394,432,24,27,0,0,826,51,877
CARACOLLO,consulta externa,personas de 60 anos y mas,2024-01-01,490,567,73,121,403,453,1057,194,1251
CARANAVI,consulta externa,personas de 60 anos y mas,2024-01-01,1011,738,169,177,8,6,1749,346,2095
CARANGAS,consulta externa,personas de 60 anos y mas,2024-01-01,0,0,0,0,27,25,0,0,0
CARAPARI,consulta externa,personas de 60 anos y mas,2024-01-01,420,456,138,174,21,10,876,312,1188
CARIPUYO,consulta externa,personas de 60 anos y mas,2024-01-01,320,417,0,7,0,0,737,7,744
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2024-01-01,107,103,7,9,122,114,210,16,226
CATACORA,consulta externa,personas de 60 anos y mas,2024-01-01,42,51,2,13,0,0,93,15,108
CHACARILLA,consulta externa,personas de 60 anos y mas,2024-01-01,73,78,7,5,0,0,151,12,163
CHALLAPATA,consulta externa,personas de 60 anos y mas,2024-01-01,683,808,106,128,535,629,1491,234,1725
CHAQUI,consulta externa,personas de 60 anos y mas,2024-01-01,570,770,3,7,0,0,1340,10,1350
CHARAGUA,consulta externa,personas de 60 anos y mas,2024-01-01,594,630,106,118,0,0,1224,224,1448
CHARAÑA,consulta externa,personas de 60 anos y mas,2024-01-01,102,125,13,21,8,9,227,34,261
CHAYANTA,consulta externa,personas de 60 anos y mas,2024-01-01,446,641,52,30,253,281,1087,82,1169
CHIMORE,consulta externa,personas de 60 anos y mas,2024-01-01,255,190,48,46,248,222,445,94,539
CHIPAYA,consulta externa,personas de 60 anos y mas,2024-01-01,49,59,3,1,49,59,108,4,112
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2024-01-01,35,61,3,2,0,0,96,5,101
CHUA COCANI,consulta externa,personas de 60 anos y mas,2024-01-01,57,50,41,30,0,0,107,71,178
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2024-01-01,284,201,112,93,2,0,485,205,690
CHUMA,consulta externa,personas de 60 anos y mas,2024-01-01,477,464,43,58,376,377,941,101,1042
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2024-01-01,103,153,1,7,0,0,256,8,264
CKOCHAS,consulta externa,personas de 60 anos y mas,2024-01-01,516,622,6,6,432,538,1138,12,1150
CLIZA,consulta externa,personas de 60 anos y mas,2024-01-01,285,374,390,569,0,0,659,959,1618
COBIJA,consulta externa,personas de 60 anos y mas,2024-01-01,653,611,541,580,54,28,1264,1121,2385
COCAPATA,consulta externa,personas de 60 anos y mas,2024-01-01,308,305,12,5,105,98,613,17,630
COCHABAMBA,consulta externa,personas de 60 anos y mas,2024-01-01,16246,21845,16410,21681,955,1131,38091,38091,76182
