,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO PRIMERA,NINOS DE 6 MESES A < 1 AÑO PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,1,0,0,0,0,7,0,7
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,25,38,9,13,0,0,63,22,85
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,22,21,4,3,0,0,43,7,50
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,27,28,30,34,23,23,55,64,119
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,4,1,0,7,5,10,1,11
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,8,0,0,3,7,17,0,17
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,51,41,2,2,0,0,92,4,96
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,5,5,3,0,1,1,10,3,13
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,1,0,1,0,0,7,1,8
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,4,4,0,0,4,4,8,0,8
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,9,4,2,0,0,16,6,22
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,59,42,34,40,60,47,101,74,175
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,5,2,0,0,5,2,7,0,7
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,19,4,3,0,1,28,7,35
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,68,71,11,14,0,0,139,25,164
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,39,27,0,1,0,0,66,1,67
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,47,47,3,1,1,0,94,4,98
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,23,44,1,1,1,3,67,2,69
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,1,0,2,20,10,2,2,4
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,18,0,1,19,18,37,1,38
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,11,9,0,7,0,0,20,7,27
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,38,37,15,7,26,19,75,22,97
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,4,7,3,9,34,26,11,12,23
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,16,18,8,16,0,0,34,24,58
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,12,11,0,0,0,0,23,0,23
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,1,0,0,6,1,7,0,7
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,12,5,2,3,1,0,17,5,22
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,179,199,26,21,0,0,378,47,425
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,39,47,1,1,0,0,86,2,88
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,8,1,1,0,0,22,2,24
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,2,0,0,0,0,8,0,8
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,20,8,3,3,0,0,28,6,34
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,29,23,4,3,0,0,52,7,59
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,70,65,4,2,9,2,135,6,141
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,18,19,5,5,0,0,37,10,47
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,34,26,2,0,0,0,60,2,62
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,31,17,4,1,22,18,48,5,53
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,9,1,0,0,0,11,1,12
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,28,14,0,0,0,0,42,0,42
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,2,6,3,20,21,8,9,17
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,6,1,2,0,6,1,7,2,9
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,32,28,14,4,0,0,60,18,78
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,71,64,13,8,1,0,135,21,156
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,14,13,1,2,0,0,27,3,30
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,45,46,13,8,42,42,91,21,112
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,219,170,21,13,1,0,389,34,423
CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,0,0,0,3,2,0,0,0
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,50,35,5,3,2,8,85,8,93
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,5,15,0,0,0,0,20,0,20
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,9,4,0,2,9,4,13,2,15
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,4,0,0,0,0,11,0,11
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,4,0,0,0,0,6,0,6
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,49,37,6,2,25,22,86,8,94
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,8,16,0,0,0,0,24,0,24
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,118,103,26,24,0,0,221,50,271
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,10,4,2,3,0,0,14,5,19
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,24,0,0,8,4,43,0,43
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,79,67,25,20,108,98,146,45,191
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,0,1,0,0,0,1,1,0,1
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,1,0,0,0,0,0,1,0,1
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,2,3,8,9,0,0,5,17,22
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,30,45,3,5,2,4,75,8,83
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,13,8,2,0,17,13,21,2,23
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,19,19,0,0,0,0,38,0,38
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2024-01-01,7,13,0,0,8,14,20,0,20
