,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS PRIMERA,PERSONAS DE 5 A 9 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2024-01-01,18,7,0,0,0,0,25,0,25
ACHACACHI,consulta externa,personas de 5 a 9 anos,2024-01-01,98,96,5,8,0,0,194,13,207
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2024-01-01,99,94,9,13,1,0,193,22,215
AIQUILE,consulta externa,personas de 5 a 9 anos,2024-01-01,120,100,10,11,92,71,220,21,241
ALALAY,consulta externa,personas de 5 a 9 anos,2024-01-01,2,7,0,2,2,9,9,2,11
ALCALA,consulta externa,personas de 5 a 9 anos,2024-01-01,22,29,2,2,21,30,51,4,55
ALTO BENI,consulta externa,personas de 5 a 9 anos,2024-01-01,114,116,2,1,0,0,230,3,233
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2024-01-01,27,27,3,2,5,9,54,5,59
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2024-01-01,14,8,2,3,0,0,22,5,27
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2024-01-01,25,11,0,2,25,11,36,2,38
ANZALDO,consulta externa,personas de 5 a 9 anos,2024-01-01,24,19,1,1,0,0,43,2,45
APOLO,consulta externa,personas de 5 a 9 anos,2024-01-01,79,69,8,8,84,74,148,16,164
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2024-01-01,10,18,0,0,12,16,28,0,28
ARANI,consulta externa,personas de 5 a 9 anos,2024-01-01,24,24,3,2,0,0,48,5,53
ARBIETO,consulta externa,personas de 5 a 9 anos,2024-01-01,104,106,5,4,0,0,210,9,219
ARQUE,consulta externa,personas de 5 a 9 anos,2024-01-01,48,43,0,0,0,0,91,0,91
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2024-01-01,138,107,6,4,6,10,245,10,255
ATOCHA,consulta externa,personas de 5 a 9 anos,2024-01-01,113,107,13,10,28,31,220,23,243
AUCAPATA,consulta externa,personas de 5 a 9 anos,2024-01-01,0,2,0,3,29,34,2,3,5
AYATA,consulta externa,personas de 5 a 9 anos,2024-01-01,24,22,0,1,24,22,46,1,47
AYO AYO,consulta externa,personas de 5 a 9 anos,2024-01-01,27,23,0,1,0,0,50,1,51
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 5 a 9 anos,2024-01-01,78,90,10,5,45,50,168,15,183
AZURDUY,consulta externa,personas de 5 a 9 anos,2024-01-01,4,1,0,5,42,41,5,5,10
BATALLAS,consulta externa,personas de 5 a 9 anos,2024-01-01,28,35,11,13,0,0,63,24,87
BAURES,consulta externa,personas de 5 a 9 anos,2024-01-01,78,62,5,1,0,0,140,6,146
BELEN DE ANDAMARCA,consulta externa,personas de 5 a 9 anos,2024-01-01,5,4,0,0,0,0,9,0,9
BELEN DE URMIRI,consulta externa,personas de 5 a 9 anos,2024-01-01,7,4,0,0,4,2,11,0,11
BELLA FLOR,consulta externa,personas de 5 a 9 anos,2024-01-01,32,23,1,0,5,2,55,1,56
BERMEJO,consulta externa,personas de 5 a 9 anos,2024-01-01,330,300,37,27,6,5,630,64,694
BETANZOS,consulta externa,personas de 5 a 9 anos,2024-01-01,113,88,3,2,0,0,201,5,206
BOLIVAR,consulta externa,personas de 5 a 9 anos,2024-01-01,12,14,1,0,0,0,26,1,27
BOLPEBRA,consulta externa,personas de 5 a 9 anos,2024-01-01,15,15,1,0,0,0,30,1,31
BOYUIBE,consulta externa,personas de 5 a 9 anos,2024-01-01,46,44,3,3,0,0,90,6,96
BUENA VISTA,consulta externa,personas de 5 a 9 anos,2024-01-01,61,60,0,0,0,0,121,0,121
CABEZAS,consulta externa,personas de 5 a 9 anos,2024-01-01,234,257,2,2,6,5,491,4,495
CAIROMA,consulta externa,personas de 5 a 9 anos,2024-01-01,50,56,5,1,0,0,106,6,112
"CAIZA ""D""",consulta externa,personas de 5 a 9 anos,2024-01-01,84,84,0,0,0,0,168,0,168
CAJUATA,consulta externa,personas de 5 a 9 anos,2024-01-01,70,63,14,15,65,57,133,29,162
CALACOTO,consulta externa,personas de 5 a 9 anos,2024-01-01,20,9,0,0,0,0,29,0,29
CALAMARCA,consulta externa,personas de 5 a 9 anos,2024-01-01,41,44,0,0,0,0,85,0,85
CAMARGO,consulta externa,personas de 5 a 9 anos,2024-01-01,9,6,19,14,86,105,15,33,48
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 5 a 9 anos,2024-01-01,26,24,0,1,26,24,50,1,51
CAMIRI,consulta externa,personas de 5 a 9 anos,2024-01-01,105,131,12,16,0,0,236,28,264
CAPINOTA,consulta externa,personas de 5 a 9 anos,2024-01-01,116,105,21,14,1,0,221,35,256
CAQUIAVIRI,consulta externa,personas de 5 a 9 anos,2024-01-01,20,25,0,0,0,0,45,0,45
CARACOLLO,consulta externa,personas de 5 a 9 anos,2024-01-01,84,80,9,5,73,67,164,14,178
CARANAVI,consulta externa,personas de 5 a 9 anos,2024-01-01,350,318,23,19,4,3,668,42,710
CARANGAS,consulta externa,personas de 5 a 9 anos,2024-01-01,0,0,0,0,2,3,0,0,0
CARAPARI,consulta externa,personas de 5 a 9 anos,2024-01-01,182,161,9,7,1,4,343,16,359
CARIPUYO,consulta externa,personas de 5 a 9 anos,2024-01-01,25,15,1,0,0,0,40,1,41
CARMEN RIVERO TORREZ,consulta externa,personas de 5 a 9 anos,2024-01-01,37,31,0,0,50,38,68,0,68
CATACORA,consulta externa,personas de 5 a 9 anos,2024-01-01,10,6,0,0,0,0,16,0,16
CHACARILLA,consulta externa,personas de 5 a 9 anos,2024-01-01,17,13,0,0,0,0,30,0,30
CHALLAPATA,consulta externa,personas de 5 a 9 anos,2024-01-01,107,121,14,11,71,64,228,25,253
CHAQUI,consulta externa,personas de 5 a 9 anos,2024-01-01,30,19,0,0,0,0,49,0,49
CHARAGUA,consulta externa,personas de 5 a 9 anos,2024-01-01,253,296,17,12,0,0,549,29,578
CHARAÑA,consulta externa,personas de 5 a 9 anos,2024-01-01,20,14,1,0,1,0,34,1,35
CHAYANTA,consulta externa,personas de 5 a 9 anos,2024-01-01,60,85,4,0,14,24,145,4,149
CHIMORE,consulta externa,personas de 5 a 9 anos,2024-01-01,198,207,26,17,149,167,405,43,448
CHIPAYA,consulta externa,personas de 5 a 9 anos,2024-01-01,5,13,0,0,5,13,18,0,18
CHOQUE COTA,consulta externa,personas de 5 a 9 anos,2024-01-01,10,1,0,0,0,0,11,0,11
CHUA COCANI,consulta externa,personas de 5 a 9 anos,2024-01-01,6,9,1,0,0,0,15,1,16
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 5 a 9 anos,2024-01-01,90,71,10,5,2,1,161,15,176
CHUMA,consulta externa,personas de 5 a 9 anos,2024-01-01,33,31,2,1,32,30,64,3,67
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 5 a 9 anos,2024-01-01,37,40,4,2,0,0,77,6,83
CKOCHAS,consulta externa,personas de 5 a 9 anos,2024-01-01,52,48,0,0,41,41,100,0,100
CLIZA,consulta externa,personas de 5 a 9 anos,2024-01-01,90,114,15,20,0,0,204,35,239
COBIJA,consulta externa,personas de 5 a 9 anos,2024-01-01,394,310,56,57,26,39,704,113,817
COCAPATA,consulta externa,personas de 5 a 9 anos,2024-01-01,50,53,0,0,11,10,103,0,103
COCHABAMBA,consulta externa,personas de 5 a 9 anos,2024-01-01,5471,5227,2019,1811,915,837,10698,3830,14528
