,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS PRIMERA,PERSONAS DE 20 A 39 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2024-01-01,25,50,0,0,0,0,75,0,75
ACHACACHI,consulta externa,personas de 20 a 39 anos,2024-01-01,335,747,34,84,0,0,1082,118,1200
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2024-01-01,116,678,33,80,3,0,794,113,907
AIQUILE,consulta externa,personas de 20 a 39 anos,2024-01-01,194,448,43,164,117,258,642,207,849
ALALAY,consulta externa,personas de 20 a 39 anos,2024-01-01,15,36,0,1,15,36,51,1,52
ALCALA,consulta externa,personas de 20 a 39 anos,2024-01-01,45,148,6,16,42,116,193,22,215
ALTO BENI,consulta externa,personas de 20 a 39 anos,2024-01-01,259,421,17,5,0,0,680,22,702
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2024-01-01,64,100,6,37,10,29,164,43,207
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2024-01-01,45,69,3,3,0,0,114,6,120
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2024-01-01,42,94,0,5,42,94,136,5,141
ANZALDO,consulta externa,personas de 20 a 39 anos,2024-01-01,51,169,6,8,0,0,220,14,234
APOLO,consulta externa,personas de 20 a 39 anos,2024-01-01,136,390,19,94,136,390,526,113,639
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2024-01-01,17,45,0,0,17,45,62,0,62
ARANI,consulta externa,personas de 20 a 39 anos,2024-01-01,107,131,23,105,0,0,238,128,366
ARBIETO,consulta externa,personas de 20 a 39 anos,2024-01-01,131,432,15,26,0,0,563,41,604
ARQUE,consulta externa,personas de 20 a 39 anos,2024-01-01,86,189,1,0,0,0,275,1,276
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2024-01-01,109,326,3,12,4,18,435,15,450
ATOCHA,consulta externa,personas de 20 a 39 anos,2024-01-01,365,519,72,113,116,106,884,185,1069
AUCAPATA,consulta externa,personas de 20 a 39 anos,2024-01-01,8,25,9,1,103,149,33,10,43
AYATA,consulta externa,personas de 20 a 39 anos,2024-01-01,86,139,1,6,86,139,225,7,232
AYO AYO,consulta externa,personas de 20 a 39 anos,2024-01-01,72,167,4,4,0,0,239,8,247
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 20 a 39 anos,2024-01-01,273,306,48,69,113,263,579,117,696
AZURDUY,consulta externa,personas de 20 a 39 anos,2024-01-01,17,24,5,18,85,253,41,23,64
BATALLAS,consulta externa,personas de 20 a 39 anos,2024-01-01,88,220,15,66,0,0,308,81,389
BAURES,consulta externa,personas de 20 a 39 anos,2024-01-01,163,258,6,8,0,0,421,14,435
BELEN DE ANDAMARCA,consulta externa,personas de 20 a 39 anos,2024-01-01,16,20,1,3,0,0,36,4,40
BELEN DE URMIRI,consulta externa,personas de 20 a 39 anos,2024-01-01,40,29,0,0,27,17,69,0,69
BELLA FLOR,consulta externa,personas de 20 a 39 anos,2024-01-01,94,144,11,36,5,14,238,47,285
BERMEJO,consulta externa,personas de 20 a 39 anos,2024-01-01,732,1735,114,246,22,31,2467,360,2827
BETANZOS,consulta externa,personas de 20 a 39 anos,2024-01-01,306,603,7,37,0,0,909,44,953
BOLIVAR,consulta externa,personas de 20 a 39 anos,2024-01-01,24,51,0,3,0,0,75,3,78
BOLPEBRA,consulta externa,personas de 20 a 39 anos,2024-01-01,54,78,2,8,0,0,132,10,142
BOYUIBE,consulta externa,personas de 20 a 39 anos,2024-01-01,78,157,7,24,0,0,235,31,266
BUENA VISTA,consulta externa,personas de 20 a 39 anos,2024-01-01,118,294,1,7,0,0,412,8,420
CABEZAS,consulta externa,personas de 20 a 39 anos,2024-01-01,472,805,18,36,21,22,1277,54,1331
CAIROMA,consulta externa,personas de 20 a 39 anos,2024-01-01,135,207,10,15,0,0,342,25,367
"CAIZA ""D""",consulta externa,personas de 20 a 39 anos,2024-01-01,192,409,1,2,0,0,601,3,604
CAJUATA,consulta externa,personas de 20 a 39 anos,2024-01-01,159,262,51,81,144,199,421,132,553
CALACOTO,consulta externa,personas de 20 a 39 anos,2024-01-01,30,46,2,0,0,0,76,2,78
CALAMARCA,consulta externa,personas de 20 a 39 anos,2024-01-01,102,282,12,4,0,0,384,16,400
CAMARGO,consulta externa,personas de 20 a 39 anos,2024-01-01,30,33,23,86,193,534,63,109,172
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 20 a 39 anos,2024-01-01,85,141,4,3,85,141,226,7,233
CAMIRI,consulta externa,personas de 20 a 39 anos,2024-01-01,168,455,54,233,0,0,623,287,910
CAPINOTA,consulta externa,personas de 20 a 39 anos,2024-01-01,155,663,23,153,1,0,818,176,994
CAQUIAVIRI,consulta externa,personas de 20 a 39 anos,2024-01-01,49,129,5,4,0,0,178,9,187
CARACOLLO,consulta externa,personas de 20 a 39 anos,2024-01-01,194,541,16,82,164,442,735,98,833
CARANAVI,consulta externa,personas de 20 a 39 anos,2024-01-01,861,1522,30,80,4,5,2383,110,2493
CARANGAS,consulta externa,personas de 20 a 39 anos,2024-01-01,0,0,0,0,28,27,0,0,0
CARAPARI,consulta externa,personas de 20 a 39 anos,2024-01-01,264,673,17,113,12,23,937,130,1067
CARIPUYO,consulta externa,personas de 20 a 39 anos,2024-01-01,36,113,0,1,0,0,149,1,150
CARMEN RIVERO TORREZ,consulta externa,personas de 20 a 39 anos,2024-01-01,62,139,0,5,65,157,201,5,206
CATACORA,consulta externa,personas de 20 a 39 anos,2024-01-01,34,35,2,9,0,0,69,11,80
CHACARILLA,consulta externa,personas de 20 a 39 anos,2024-01-01,22,55,0,1,0,0,77,1,78
CHALLAPATA,consulta externa,personas de 20 a 39 anos,2024-01-01,243,812,21,102,111,410,1055,123,1178
CHAQUI,consulta externa,personas de 20 a 39 anos,2024-01-01,76,156,2,4,0,0,232,6,238
CHARAGUA,consulta externa,personas de 20 a 39 anos,2024-01-01,365,917,28,89,0,0,1282,117,1399
CHARAÑA,consulta externa,personas de 20 a 39 anos,2024-01-01,39,71,3,6,0,5,110,9,119
CHAYANTA,consulta externa,personas de 20 a 39 anos,2024-01-01,137,324,0,9,23,47,461,9,470
CHIMORE,consulta externa,personas de 20 a 39 anos,2024-01-01,273,586,23,48,506,796,859,71,930
CHIPAYA,consulta externa,personas de 20 a 39 anos,2024-01-01,12,36,1,0,12,36,48,1,49
CHOQUE COTA,consulta externa,personas de 20 a 39 anos,2024-01-01,9,22,0,0,0,0,31,0,31
CHUA COCANI,consulta externa,personas de 20 a 39 anos,2024-01-01,21,57,9,16,0,0,78,25,103
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 20 a 39 anos,2024-01-01,206,409,29,66,4,0,615,95,710
CHUMA,consulta externa,personas de 20 a 39 anos,2024-01-01,126,180,7,14,96,152,306,21,327
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 20 a 39 anos,2024-01-01,123,194,14,15,0,0,317,29,346
CKOCHAS,consulta externa,personas de 20 a 39 anos,2024-01-01,102,228,0,0,76,180,330,0,330
CLIZA,consulta externa,personas de 20 a 39 anos,2024-01-01,223,669,65,158,0,0,892,223,1115
COBIJA,consulta externa,personas de 20 a 39 anos,2024-01-01,960,1706,288,583,204,211,2666,871,3537
COCAPATA,consulta externa,personas de 20 a 39 anos,2024-01-01,128,277,0,1,38,59,405,1,406
