,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS PRIMERA,PERSONAS DE 15 A 19 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2024-01-01,6,22,0,0,0,0,28,0,28
ACHACACHI,consulta externa,personas de 15 a 19 anos,2024-01-01,125,156,14,10,0,0,281,24,305
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2024-01-01,51,94,11,13,1,0,145,24,169
AIQUILE,consulta externa,personas de 15 a 19 anos,2024-01-01,58,108,12,35,53,104,166,47,213
ALALAY,consulta externa,personas de 15 a 19 anos,2024-01-01,4,14,0,0,4,15,18,0,18
ALCALA,consulta externa,personas de 15 a 19 anos,2024-01-01,14,21,0,6,12,23,35,6,41
ALTO BENI,consulta externa,personas de 15 a 19 anos,2024-01-01,58,91,2,2,0,0,149,4,153
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2024-01-01,30,21,4,7,3,2,51,11,62
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2024-01-01,15,10,0,1,0,0,25,1,26
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2024-01-01,14,26,2,3,14,26,40,5,45
ANZALDO,consulta externa,personas de 15 a 19 anos,2024-01-01,16,49,0,1,0,0,65,1,66
APOLO,consulta externa,personas de 15 a 19 anos,2024-01-01,41,108,6,12,42,111,149,18,167
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2024-01-01,5,6,0,0,5,6,11,0,11
ARANI,consulta externa,personas de 15 a 19 anos,2024-01-01,28,28,5,27,0,0,56,32,88
ARBIETO,consulta externa,personas de 15 a 19 anos,2024-01-01,47,81,2,7,0,0,128,9,137
ARQUE,consulta externa,personas de 15 a 19 anos,2024-01-01,18,33,0,0,0,0,51,0,51
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2024-01-01,60,105,1,1,2,7,165,2,167
ATOCHA,consulta externa,personas de 15 a 19 anos,2024-01-01,69,102,8,10,8,18,171,18,189
AUCAPATA,consulta externa,personas de 15 a 19 anos,2024-01-01,1,2,0,0,15,16,3,0,3
AYATA,consulta externa,personas de 15 a 19 anos,2024-01-01,11,18,1,0,11,18,29,1,30
AYO AYO,consulta externa,personas de 15 a 19 anos,2024-01-01,41,40,0,0,0,0,81,0,81
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 15 a 19 anos,2024-01-01,42,61,8,6,23,64,103,14,117
AZURDUY,consulta externa,personas de 15 a 19 anos,2024-01-01,7,6,2,3,17,74,13,5,18
BATALLAS,consulta externa,personas de 15 a 19 anos,2024-01-01,31,47,7,17,0,0,78,24,102
BAURES,consulta externa,personas de 15 a 19 anos,2024-01-01,46,62,2,4,0,0,108,6,114
BELEN DE ANDAMARCA,consulta externa,personas de 15 a 19 anos,2024-01-01,7,2,0,0,0,0,9,0,9
BELEN DE URMIRI,consulta externa,personas de 15 a 19 anos,2024-01-01,4,6,0,0,4,4,10,0,10
BELLA FLOR,consulta externa,personas de 15 a 19 anos,2024-01-01,29,27,2,3,4,1,56,5,61
BERMEJO,consulta externa,personas de 15 a 19 anos,2024-01-01,189,315,23,36,3,1,504,59,563
BETANZOS,consulta externa,personas de 15 a 19 anos,2024-01-01,96,158,6,4,0,0,254,10,264
BOLIVAR,consulta externa,personas de 15 a 19 anos,2024-01-01,10,14,0,0,0,0,24,0,24
BOLPEBRA,consulta externa,personas de 15 a 19 anos,2024-01-01,10,11,1,1,0,0,21,2,23
BOYUIBE,consulta externa,personas de 15 a 19 anos,2024-01-01,24,39,0,4,0,0,63,4,67
BUENA VISTA,consulta externa,personas de 15 a 19 anos,2024-01-01,45,90,0,2,0,0,135,2,137
CABEZAS,consulta externa,personas de 15 a 19 anos,2024-01-01,166,208,7,14,5,2,374,21,395
CAIROMA,consulta externa,personas de 15 a 19 anos,2024-01-01,25,26,0,1,0,0,51,1,52
"CAIZA ""D""",consulta externa,personas de 15 a 19 anos,2024-01-01,35,79,0,0,0,0,114,0,114
CAJUATA,consulta externa,personas de 15 a 19 anos,2024-01-01,31,47,4,5,26,42,78,9,87
CALACOTO,consulta externa,personas de 15 a 19 anos,2024-01-01,6,7,1,0,0,0,13,1,14
CALAMARCA,consulta externa,personas de 15 a 19 anos,2024-01-01,30,58,1,4,0,0,88,5,93
CAMARGO,consulta externa,personas de 15 a 19 anos,2024-01-01,4,9,4,22,61,83,13,26,39
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 15 a 19 anos,2024-01-01,23,29,0,0,23,29,52,0,52
CAMIRI,consulta externa,personas de 15 a 19 anos,2024-01-01,36,95,6,44,0,0,131,50,181
CAPINOTA,consulta externa,personas de 15 a 19 anos,2024-01-01,119,143,4,30,1,0,262,34,296
CAQUIAVIRI,consulta externa,personas de 15 a 19 anos,2024-01-01,7,26,0,0,0,0,33,0,33
CARACOLLO,consulta externa,personas de 15 a 19 anos,2024-01-01,64,123,11,12,60,101,187,23,210
CARANAVI,consulta externa,personas de 15 a 19 anos,2024-01-01,280,278,10,10,1,1,558,20,578
CARANGAS,consulta externa,personas de 15 a 19 anos,2024-01-01,0,0,0,0,6,12,0,0,0
CARAPARI,consulta externa,personas de 15 a 19 anos,2024-01-01,78,125,0,12,4,1,203,12,215
CARIPUYO,consulta externa,personas de 15 a 19 anos,2024-01-01,11,29,0,0,0,0,40,0,40
CARMEN RIVERO TORREZ,consulta externa,personas de 15 a 19 anos,2024-01-01,25,37,0,4,29,40,62,4,66
CATACORA,consulta externa,personas de 15 a 19 anos,2024-01-01,11,11,0,0,0,0,22,0,22
CHACARILLA,consulta externa,personas de 15 a 19 anos,2024-01-01,2,2,0,0,0,0,4,0,4
CHALLAPATA,consulta externa,personas de 15 a 19 anos,2024-01-01,98,139,15,25,59,60,237,40,277
CHAQUI,consulta externa,personas de 15 a 19 anos,2024-01-01,22,35,1,0,0,0,57,1,58
CHARAGUA,consulta externa,personas de 15 a 19 anos,2024-01-01,82,260,7,35,0,0,342,42,384
CHARAÑA,consulta externa,personas de 15 a 19 anos,2024-01-01,3,21,0,1,1,1,24,1,25
CHAYANTA,consulta externa,personas de 15 a 19 anos,2024-01-01,25,64,0,2,4,14,89,2,91
CHIMORE,consulta externa,personas de 15 a 19 anos,2024-01-01,90,135,13,8,97,173,225,21,246
CHIPAYA,consulta externa,personas de 15 a 19 anos,2024-01-01,4,5,1,0,4,5,9,1,10
CHOQUE COTA,consulta externa,personas de 15 a 19 anos,2024-01-01,7,3,1,0,0,0,10,1,11
CHUA COCANI,consulta externa,personas de 15 a 19 anos,2024-01-01,15,11,3,7,0,0,26,10,36
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 15 a 19 anos,2024-01-01,48,75,5,2,2,4,123,7,130
CHUMA,consulta externa,personas de 15 a 19 anos,2024-01-01,36,38,0,3,26,35,74,3,77
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 15 a 19 anos,2024-01-01,22,44,0,2,0,0,66,2,68
CKOCHAS,consulta externa,personas de 15 a 19 anos,2024-01-01,25,55,0,0,23,43,80,0,80
CLIZA,consulta externa,personas de 15 a 19 anos,2024-01-01,61,150,14,45,0,0,211,59,270
COBIJA,consulta externa,personas de 15 a 19 anos,2024-01-01,309,334,64,75,34,26,643,139,782
COCAPATA,consulta externa,personas de 15 a 19 anos,2024-01-01,31,61,2,1,8,22,92,3,95
COCHABAMBA,consulta externa,personas de 15 a 19 anos,2024-01-01,3515,4587,1759,1854,486,577,8102,3613,11715
