municipality,group,variable,month,Nacidos vivos con peso menor a 2500 g.,TOTAL
ANDAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,1,1
GUAQUI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,4,4
LA PAZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,0,0
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-01-01,2,2
ACHOCALLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,1,1
COMARAPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,3,3
SANTA ROSA DEL SARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2008-02-01,1,1
