municipality,group,variable,month,Nacidos vivos atendidos por partera capacitada,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,7,7
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,6,6
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,2,2
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,3,3
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,7,7
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitada,2008-01-01,3,3
