municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
ALCALA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,7,7
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,7,7
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,2,2
BOLIVAR,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
CALAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,8,8
CHAQUI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,34,34
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,2,2
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
CURVA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,12,12
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
EL VILLAR,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,7,7
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,7,7
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,4,4
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,4,4
MINEROS,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
MORO MORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,4,4
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,8,8
OMEREQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,5,5
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
PASORAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,13,13
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,2,2
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,7,7
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SACABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,8,8
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,10,10
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,4,4
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,6,6
SAN PEDRO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,0,0
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SORACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,17,17
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2008-01-01,3,3
