municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,0,0
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,2,2
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-01-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,2,2
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
OKINAWA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-03-01,0,0
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,1,1
HUACHACALLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,0,0
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-04-01,2,2
ANDAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,0,0
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-05-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2008-06-01,1,1
