municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g,TOTAL
ANDAMARCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-01-01,0,0
TOLEDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-01-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-01-01,2,2
ANDAMARCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-03-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-03-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-03-01,0,0
TARVITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-03-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-03-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-04-01,0,0
TACOBAMBA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-04-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-05-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-05-01,2,2
SABAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-05-01,0,0
CHAYANTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-06-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-06-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-06-01,0,0
VACAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-06-01,2,2
CALACOTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-07-01,0,0
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-08-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2008-08-01,1,1
