municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,18,18
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
ANTEQUERA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,10,10
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,12,12
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
BAURES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,12,12
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,7,7
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,13,13
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,7,7
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,7,7
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,14,14
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
CHACARILLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,7,7
CHARAÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,8,8
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
CHIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
CHOQUE COTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,3,3
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,9,9
COLLANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,28,28
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,5,5
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,12,12
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,6,6
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2008-01-01,4,4
