municipality,group,variable,month,Total 12.8 Nacidos muertos atendidos por partera capacitada,TOTAL
AUCAPATA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,2,2
BATALLAS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,1,1
BETANZOS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,0,0
TINGUIPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,1,1
TRINIDAD,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,1,1
UMALA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-01-01,1,1
COCAPATA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-02-01,3,3
SACABA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-02-01,1,1
SACACA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-02-01,1,1
SAN MATIAS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-02-01,1,1
TAPACARI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-02-01,1,1
CARAPARI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
CHIMORE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
COLOMI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
PRESTO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
RIBERALTA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
SAN MATIAS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
SANTA ROSA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
TACOPAYA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-03-01,1,1
BOLIVAR,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,1,1
CARAPARI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,5,5
LLALLAGUA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,1,1
MIZQUE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,1,1
MONTERO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,23,23
PRESTO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,1,1
TARABUCO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-04-01,1,1
ACHACACHI,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
CARACOLLO,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
CHARAGUA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
POCOATA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
POROMA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
SAN JAVIER(STC),atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-05-01,1,1
CABEZAS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-06-01,23,23
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-06-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-07-01,1,1
CHIMORE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-07-01,1,1
CKOCHAS,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-07-01,2,2
COCAPATA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-07-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-07-01,1,1
SIPE SIPE,atencion de partos en domicilio,      nacidos muertos atendidos por partera capacitada,2014-07-01,1,1
